RESULTADOS EXPERIMENTALES - SUDOKU
Fecha: 2025-11-03 17:26:12

RECOCIDO SIMULADO - Ejecuciones Individuales
Ejecucion,Fitness,Evaluaciones,Generaciones,Tiempo(s),Seed
1,2.00,21600,240,3.13,938491680
2,5.00,19440,216,2.82,2050637098
3,2.00,22230,247,3.19,2209179643
4,4.00,23490,261,3.36,3338714077
5,0.00,14850,165,2.14,2136790437
6,0.00,10440,116,1.49,1763344307
7,0.00,15660,174,2.25,2358122698
8,6.00,20160,224,2.89,1152738838
9,2.00,19800,220,2.83,1088595806
10,0.00,19710,219,2.82,1332393890
11,6.00,18540,206,2.67,1526837088
12,2.00,20340,226,2.90,2545055532
13,8.00,20340,226,2.93,3719270780
14,0.00,12330,137,1.77,3746817434
15,4.00,22770,253,3.28,96678114
16,4.00,22410,249,3.26,2975731712
17,0.00,11520,128,1.67,1087089054
18,0.00,15120,168,2.19,2232878941
19,5.00,19710,219,2.82,317118876
20,7.00,22590,251,3.24,813195233
21,0.00,16650,185,2.39,1412254907
22,2.00,22320,248,3.19,172438802
23,2.00,21510,239,3.06,1518630500
24,4.00,21960,244,3.12,2221095475
25,6.00,22140,246,3.16,3928733797
26,0.00,13860,154,1.98,1404728408
27,7.00,24660,274,3.52,473322320
28,4.00,19530,217,2.76,1296331661
29,2.00,20070,223,2.84,2636705083
30,0.00,16380,182,2.33,2818840632

BÚSQUEDA LOCAL ITERADA - Ejecuciones Individuales
Ejecucion,Fitness,Evaluaciones,Iteraciones,Seed
1,7.00,61846,1001,
2,6.00,61686,1001,
3,14.00,61764,1001,
4,11.00,62411,1001,
5,6.00,61457,1001,
6,8.00,61065,1001,
7,10.00,62269,1001,
8,10.00,65674,1001,
9,6.00,57478,1001,
10,9.00,60643,1001,
11,4.00,60046,1001,
12,10.00,64693,1001,
13,4.00,58301,1001,
14,8.00,63885,1001,
15,13.00,61601,1001,
16,12.00,62192,1001,
17,7.00,60051,1001,
18,9.00,62762,1001,
19,6.00,61813,1001,
20,12.00,62205,1001,
21,7.00,60963,1001,
22,6.00,58564,1001,
23,16.00,62738,1001,
24,6.00,62954,1001,
25,6.00,60064,1001,
26,8.00,62866,1001,
27,8.00,60642,1001,
28,7.00,60846,1001,
29,3.00,59589,1001,
30,8.00,60725,1001,

ALGORITMO MEMÉTICO - Ejecuciones Individuales
Ejecucion,Fitness,Evaluaciones,Generaciones
1,6.00,120940,100
2,7.00,117471,100
3,2.00,121495,100
4,7.00,120122,100
5,7.00,118374,100
6,6.00,133207,100
7,4.00,124912,100
8,7.00,122735,100
9,5.00,127893,100
10,3.00,117767,100
11,6.00,121313,100
12,9.00,118964,100
13,2.00,122989,100
14,8.00,114332,100
15,10.00,117415,100
16,10.00,122573,100
17,7.00,119241,100
18,10.00,122154,100
19,8.00,126733,100
20,0.00,59161,32
21,11.00,111917,100
22,6.00,119278,100
23,4.00,124148,100
24,6.00,121407,100
25,0.00,58974,33
26,10.00,122746,100
27,8.00,123027,100
28,12.00,128778,100
29,8.00,111322,100
30,6.00,122087,100

RESUMEN COMPARATIVO
Algoritmo,Mejor,Peor,Promedio,Mediana,Desv.Est.,Óptimas
Recocido Simulado,0.00,8.00,2.80,2.00,2.54,10
ILS,3.00,16.00,8.23,8.00,2.99,0
Memético,0.00,12.00,6.50,7.00,3.00,2
