funcion,variante,F,CR,repeticion,mejor_fitness
rastrigin,DE/best/1,0.9,0.5,10,0.9949590570932969
rastrigin,DE/best/1,0.8,0.7,1,3.979836228373159
rastrigin,DE/best/1,0.8,0.7,2,7.959667418927239
rastrigin,DE/best/1,0.8,0.7,3,2.9848771712798623
rastrigin,DE/best/1,0.8,0.7,4,3.979836228373159
rastrigin,DE/best/1,0.8,0.7,5,2.9848771712798907
rastrigin,DE/best/1,0.8,0.7,6,3.979836228373159
rastrigin,DE/best/1,0.8,0.7,7,1.9899181141865796
rastrigin,DE/best/1,0.8,0.7,8,4.974795285466456
rastrigin,DE/best/1,0.8,0.7,9,2.9848771712798907
rastrigin,DE/best/1,0.8,0.7,10,2.9848771712798623
rastrigin,DE/best/1,0.75,0.6,1,3.979836228373159
rastrigin,DE/best/1,0.75,0.6,2,3.979836228373159
rastrigin,DE/best/1,0.75,0.6,3,2.9848771712798623
rastrigin,DE/best/1,0.75,0.6,4,3.979836228373159
rastrigin,DE/best/1,0.75,0.6,5,1.9899181141865796
rastrigin,DE/best/1,0.75,0.6,6,5.969754342559753
rastrigin,DE/best/1,0.75,0.6,7,3.979836228373159
rastrigin,DE/best/1,0.75,0.6,8,4.974795285466456
rastrigin,DE/best/1,0.75,0.6,9,2.9848771712798623
rastrigin,DE/best/1,0.75,0.6,10,7.959672456746318
rastrigin,DE/current-to-best/1,0.9,0.5,1,0.0
rastrigin,DE/current-to-best/1,0.9,0.5,2,0.0
rastrigin,DE/current-to-best/1,0.9,0.5,3,0.0
rastrigin,DE/current-to-best/1,0.9,0.5,4,0.0
rastrigin,DE/current-to-best/1,0.9,0.5,5,0.0
rastrigin,DE/current-to-best/1,0.9,0.5,6,0.0
rastrigin,DE/current-to-best/1,0.9,0.5,7,0.0
rastrigin,DE/current-to-best/1,0.9,0.5,8,0.0
rastrigin,DE/current-to-best/1,0.9,0.5,9,0.0
rastrigin,DE/current-to-best/1,0.9,0.5,10,0.0
rastrigin,DE/current-to-best/1,0.8,0.7,1,6.8039923989570354
rastrigin,DE/current-to-best/1,0.8,0.7,2,7.210479665900593
rastrigin,DE/current-to-best/1,0.8,0.7,3,5.640997026953983
rastrigin,DE/current-to-best/1,0.8,0.7,4,3.381290941349505
rastrigin,DE/current-to-best/1,0.8,0.7,5,4.592393023250551
rastrigin,DE/current-to-best/1,0.8,0.7,6,3.5396516439700605
rastrigin,DE/current-to-best/1,0.8,0.7,7,3.9655207237902346
rastrigin,DE/current-to-best/1,0.8,0.7,8,4.296842995863059
rastrigin,DE/current-to-best/1,0.8,0.7,9,4.336823261980783
rastrigin,DE/current-to-best/1,0.8,0.7,10,4.0220891530357505
rastrigin,DE/current-to-best/1,0.75,0.6,1,4.440941530191708
rastrigin,DE/current-to-best/1,0.75,0.6,2,4.702125872554447
rastrigin,DE/current-to-best/1,0.75,0.6,3,5.087941934123165
rastrigin,DE/current-to-best/1,0.75,0.6,4,1.7575776191522152
rastrigin,DE/current-to-best/1,0.75,0.6,5,4.645178423891309
rastrigin,DE/current-to-best/1,0.75,0.6,6,4.773235048800416
rastrigin,DE/current-to-best/1,0.75,0.6,7,2.721066167799762
rastrigin,DE/current-to-best/1,0.75,0.6,8,2.666210238103588
rastrigin,DE/current-to-best/1,0.75,0.6,9,5.385219925652365
rastrigin,DE/current-to-best/1,0.75,0.6,10,2.1140818251670765
rosenbrock,DE/rand/1,0.9,0.5,1,5.416789320569556e-08
rosenbrock,DE/rand/1,0.9,0.5,2,1.814982053300992e-07
rosenbrock,DE/rand/1,0.9,0.5,3,1.8893089018774105e-07
rosenbrock,DE/rand/1,0.9,0.5,4,3.919782604299997e-08
rosenbrock,DE/rand/1,0.9,0.5,5,6.961200645079501e-08
rosenbrock,DE/rand/1,0.9,0.5,6,4.1599327273417056e-08
rosenbrock,DE/rand/1,0.9,0.5,7,2.308536076296891e-07
rosenbrock,DE/rand/1,0.9,0.5,8,4.969598501363753e-07
rosenbrock,DE/rand/1,0.9,0.5,9,2.2564982315381463e-08
rosenbrock,DE/rand/1,0.9,0.5,10,1.1368670749968174e-07
rosenbrock,DE/rand/1,0.8,0.7,1,8.756386142269534e-21
rosenbrock,DE/rand/1,0.8,0.7,2,2.4943840197784652e-20
rosenbrock,DE/rand/1,0.8,0.7,3,5.550435118171642e-21
rosenbrock,DE/rand/1,0.8,0.7,4,3.1146496673687295e-20
rosenbrock,DE/rand/1,0.8,0.7,5,1.1095151037748699e-20
rosenbrock,DE/rand/1,0.8,0.7,6,2.077239201145736e-20
rosenbrock,DE/rand/1,0.8,0.7,7,4.930426039268318e-20
rosenbrock,DE/rand/1,0.8,0.7,8,9.336749663680506e-20
rosenbrock,DE/rand/1,0.8,0.7,9,1.1357810875083354e-20
rosenbrock,DE/rand/1,0.8,0.7,10,4.891087139672959e-21
rosenbrock,DE/rand/1,0.75,0.6,1,6.906777609477856e-19
rosenbrock,DE/rand/1,0.75,0.6,2,4.548318148675493e-18
rosenbrock,DE/rand/1,0.75,0.6,3,3.977175709674156e-18
rosenbrock,DE/rand/1,0.75,0.6,4,2.3709300795119232e-18
rosenbrock,DE/rand/1,0.75,0.6,5,1.3361495694238949e-17
rosenbrock,DE/rand/1,0.75,0.6,6,5.015409150615227e-18
rosenbrock,DE/rand/1,0.75,0.6,7,3.2399757875928325e-18
rosenbrock,DE/rand/1,0.75,0.6,8,1.7627081958083383e-17
rosenbrock,DE/rand/1,0.75,0.6,9,5.126311975639245e-19
rosenbrock,DE/rand/1,0.75,0.6,10,9.220544216940852e-18
rosenbrock,DE/rand/2,0.9,0.5,1,0.0588152945702428
rosenbrock,DE/rand/2,0.9,0.5,2,0.07432195758905438
rosenbrock,DE/rand/2,0.9,0.5,3,0.12428821098360196
rosenbrock,DE/rand/2,0.9,0.5,4,0.09710940833805733
rosenbrock,DE/rand/2,0.9,0.5,5,0.13193185505838775
rosenbrock,DE/rand/2,0.9,0.5,6,0.08826714861272092
rosenbrock,DE/rand/2,0.9,0.5,7,0.08181738242517594
rosenbrock,DE/rand/2,0.9,0.5,8,0.093750897064648
rosenbrock,DE/rand/2,0.9,0.5,9,0.03341964555882294
rosenbrock,DE/rand/2,0.9,0.5,10,0.1297783275871815
rosenbrock,DE/rand/2,0.8,0.7,1,0.00028851721438100396
rosenbrock,DE/rand/2,0.8,0.7,2,0.00013289698857972667
rosenbrock,DE/rand/2,0.8,0.7,3,0.0002578995305193395
rosenbrock,DE/rand/2,0.8,0.7,4,0.00027603961312081075
rosenbrock,DE/rand/2,0.8,0.7,5,9.734581293402143e-05
rosenbrock,DE/rand/2,0.8,0.7,6,0.00011041345675124043
rosenbrock,DE/rand/2,0.8,0.7,7,0.00039697358301531805
rosenbrock,DE/rand/2,0.8,0.7,8,7.429465395164928e-05
rosenbrock,DE/rand/2,0.8,0.7,9,0.00010053579155709449
rosenbrock,DE/rand/2,0.8,0.7,10,0.00017589089741796874
rosenbrock,DE/rand/2,0.75,0.6,1,4.272543390428607e-05
rosenbrock,DE/rand/2,0.75,0.6,2,6.753123036526807e-05
rosenbrock,DE/rand/2,0.75,0.6,3,1.8862192323796866e-05
rosenbrock,DE/rand/2,0.75,0.6,4,3.2629705553074124e-05
rosenbrock,DE/rand/2,0.75,0.6,5,3.214338292766094e-05
rosenbrock,DE/rand/2,0.75,0.6,6,2.199576128449785e-05
rosenbrock,DE/rand/2,0.75,0.6,7,4.112454368063758e-05
rosenbrock,DE/rand/2,0.75,0.6,8,1.1613649269639023e-05
rosenbrock,DE/rand/2,0.75,0.6,9,4.850911389109165e-05
rosenbrock,DE/rand/2,0.75,0.6,10,3.210725820804698e-05
rosenbrock,DE/best/1,0.9,0.5,1,1.3483877707516262e-18
rosenbrock,DE/best/1,0.9,0.5,2,4.67321490378638e-19
rosenbrock,DE/best/1,0.9,0.5,3,8.152666024502108e-18
rosenbrock,DE/best/1,0.9,0.5,4,9.578472547151034e-19
rosenbrock,DE/best/1,0.9,0.5,5,2.1666278264843438e-20
rosenbrock,DE/best/1,0.9,0.5,6,7.318750123801049e-18
rosenbrock,DE/best/1,0.9,0.5,7,4.87381975702248e-20
rosenbrock,DE/best/1,0.9,0.5,8,4.780352884128557e-18
rosenbrock,DE/best/1,0.9,0.5,9,1.7905268695190726e-19
rosenbrock,DE/best/1,0.9,0.5,10,2.615160932106967e-18
rosenbrock,DE/best/1,0.8,0.7,1,0.0
rosenbrock,DE/best/1,0.8,0.7,2,0.0
rosenbrock,DE/best/1,0.8,0.7,3,0.0
rosenbrock,DE/best/1,0.8,0.7,4,0.0
rosenbrock,DE/best/1,0.8,0.7,5,0.0
rosenbrock,DE/best/1,0.8,0.7,6,0.0
rosenbrock,DE/best/1,0.8,0.7,7,0.0
rosenbrock,DE/best/1,0.8,0.7,8,3.986579112347137
rosenbrock,DE/best/1,0.8,0.7,9,0.0
rosenbrock,DE/best/1,0.8,0.7,10,0.0
rosenbrock,DE/best/1,0.75,0.6,1,0.0
rosenbrock,DE/best/1,0.75,0.6,2,0.0
rosenbrock,DE/best/1,0.75,0.6,3,0.0
rosenbrock,DE/best/1,0.75,0.6,4,0.0
rosenbrock,DE/best/1,0.75,0.6,5,0.0
rosenbrock,DE/best/1,0.75,0.6,6,0.0
rosenbrock,DE/best/1,0.75,0.6,7,0.0
rosenbrock,DE/best/1,0.75,0.6,8,0.0
rosenbrock,DE/best/1,0.75,0.6,9,0.0
rosenbrock,DE/best/1,0.75,0.6,10,0.0
rosenbrock,DE/current-to-best/1,0.9,0.5,1,2.6467774526780384e-18
rosenbrock,DE/current-to-best/1,0.9,0.5,2,1.2271303854717414e-17
rosenbrock,DE/current-to-best/1,0.9,0.5,3,1.7914341471358523e-18
rosenbrock,DE/current-to-best/1,0.9,0.5,4,2.5114008706505953e-17
rosenbrock,DE/current-to-best/1,0.9,0.5,5,2.270615356547267e-18
rosenbrock,DE/current-to-best/1,0.9,0.5,6,1.7995982055670094e-17
rosenbrock,DE/current-to-best/1,0.9,0.5,7,4.476305422688129e-18
rosenbrock,DE/current-to-best/1,0.9,0.5,8,3.0700765375747856e-19
rosenbrock,DE/current-to-best/1,0.9,0.5,9,1.3061968345205838e-17
rosenbrock,DE/current-to-best/1,0.9,0.5,10,4.671835377145721e-18
rosenbrock,DE/current-to-best/1,0.8,0.7,1,0.0
rosenbrock,DE/current-to-best/1,0.8,0.7,2,0.0
rosenbrock,DE/current-to-best/1,0.8,0.7,3,0.0
rosenbrock,DE/current-to-best/1,0.8,0.7,4,0.0
rosenbrock,DE/current-to-best/1,0.8,0.7,5,0.0
rosenbrock,DE/current-to-best/1,0.8,0.7,6,0.0
rosenbrock,DE/current-to-best/1,0.8,0.7,7,0.0
rosenbrock,DE/current-to-best/1,0.8,0.7,8,0.0
rosenbrock,DE/current-to-best/1,0.8,0.7,9,0.0
rosenbrock,DE/current-to-best/1,0.8,0.7,10,0.0
rosenbrock,DE/current-to-best/1,0.75,0.6,1,0.0
rosenbrock,DE/current-to-best/1,0.75,0.6,2,0.0
rosenbrock,DE/current-to-best/1,0.75,0.6,3,0.0
rosenbrock,DE/current-to-best/1,0.75,0.6,4,0.0
rosenbrock,DE/current-to-best/1,0.75,0.6,5,0.0
rosenbrock,DE/current-to-best/1,0.75,0.6,6,0.0
rosenbrock,DE/current-to-best/1,0.75,0.6,7,0.0
rosenbrock,DE/current-to-best/1,0.75,0.6,8,0.0
rosenbrock,DE/current-to-best/1,0.75,0.6,9,0.0
rosenbrock,DE/current-to-best/1,0.75,0.6,10,0.0
