funcion,variante,F,CR,repeticion,mejor_fitness
sphere,DE/current-to-best/1,0.9,0.5,8,1.2919004184394993e-182
sphere,DE/current-to-best/1,0.9,0.5,9,2.3450683938088043e-182
sphere,DE/current-to-best/1,0.9,0.5,10,7.91787117472663e-186
sphere,DE/current-to-best/1,0.8,0.7,1,1.8617011826889537e-258
sphere,DE/current-to-best/1,0.8,0.7,2,2.552863292651526e-261
sphere,DE/current-to-best/1,0.8,0.7,3,1.473847980494461e-264
sphere,DE/current-to-best/1,0.8,0.7,4,7.966972349795683e-260
sphere,DE/current-to-best/1,0.8,0.7,5,9.99191465016501e-263
sphere,DE/current-to-best/1,0.8,0.7,6,7.383190355480493e-261
sphere,DE/current-to-best/1,0.8,0.7,7,9.59740427521854e-263
sphere,DE/current-to-best/1,0.8,0.7,8,2.28071783400475e-263
sphere,DE/current-to-best/1,0.8,0.7,9,7.296710941122493e-261
sphere,DE/current-to-best/1,0.8,0.7,10,7.203466980111025e-260
sphere,DE/current-to-best/1,0.75,0.6,1,7.0394e-320
sphere,DE/current-to-best/1,0.75,0.6,2,7.26e-322
sphere,DE/current-to-best/1,0.75,0.6,3,8e-323
sphere,DE/current-to-best/1,0.75,0.6,4,2.7e-322
sphere,DE/current-to-best/1,0.75,0.6,5,4.4e-322
sphere,DE/current-to-best/1,0.75,0.6,6,7.07e-322
sphere,DE/current-to-best/1,0.75,0.6,7,1.5e-323
sphere,DE/current-to-best/1,0.75,0.6,8,1.8e-321
sphere,DE/current-to-best/1,0.75,0.6,9,7.36e-321
sphere,DE/current-to-best/1,0.75,0.6,10,1.8e-322
ackley,DE/rand/1,0.9,0.5,1,3.1086244689504383e-15
ackley,DE/rand/1,0.9,0.5,2,3.1086244689504383e-15
ackley,DE/rand/1,0.9,0.5,3,3.1086244689504383e-15
ackley,DE/rand/1,0.9,0.5,4,3.1086244689504383e-15
ackley,DE/rand/1,0.9,0.5,5,3.1086244689504383e-15
ackley,DE/rand/1,0.9,0.5,6,3.1086244689504383e-15
ackley,DE/rand/1,0.9,0.5,7,3.1086244689504383e-15
ackley,DE/rand/1,0.9,0.5,8,3.1086244689504383e-15
ackley,DE/rand/1,0.9,0.5,9,3.1086244689504383e-15
ackley,DE/rand/1,0.9,0.5,10,-4.440892098500626e-16
ackley,DE/rand/1,0.8,0.7,1,3.1086244689504383e-15
ackley,DE/rand/1,0.8,0.7,2,3.1086244689504383e-15
ackley,DE/rand/1,0.8,0.7,3,3.1086244689504383e-15
ackley,DE/rand/1,0.8,0.7,4,3.1086244689504383e-15
ackley,DE/rand/1,0.8,0.7,5,3.1086244689504383e-15
ackley,DE/rand/1,0.8,0.7,6,-4.440892098500626e-16
ackley,DE/rand/1,0.8,0.7,7,-4.440892098500626e-16
ackley,DE/rand/1,0.8,0.7,8,3.1086244689504383e-15
ackley,DE/rand/1,0.8,0.7,9,3.1086244689504383e-15
ackley,DE/rand/1,0.8,0.7,10,3.1086244689504383e-15
ackley,DE/rand/1,0.75,0.6,1,-4.440892098500626e-16
ackley,DE/rand/1,0.75,0.6,2,3.1086244689504383e-15
ackley,DE/rand/1,0.75,0.6,3,3.1086244689504383e-15
ackley,DE/rand/1,0.75,0.6,4,-4.440892098500626e-16
ackley,DE/rand/1,0.75,0.6,5,3.1086244689504383e-15
ackley,DE/rand/1,0.75,0.6,6,3.1086244689504383e-15
ackley,DE/rand/1,0.75,0.6,7,3.1086244689504383e-15
ackley,DE/rand/1,0.75,0.6,8,3.1086244689504383e-15
ackley,DE/rand/1,0.75,0.6,9,3.1086244689504383e-15
ackley,DE/rand/1,0.75,0.6,10,3.1086244689504383e-15
ackley,DE/rand/2,0.9,0.5,1,3.1086244689504383e-15
ackley,DE/rand/2,0.9,0.5,2,3.1086244689504383e-15
ackley,DE/rand/2,0.9,0.5,3,3.1086244689504383e-15
ackley,DE/rand/2,0.9,0.5,4,3.1086244689504383e-15
ackley,DE/rand/2,0.9,0.5,5,3.1086244689504383e-15
ackley,DE/rand/2,0.9,0.5,6,3.1086244689504383e-15
ackley,DE/rand/2,0.9,0.5,7,3.1086244689504383e-15
ackley,DE/rand/2,0.9,0.5,8,3.1086244689504383e-15
ackley,DE/rand/2,0.9,0.5,9,3.1086244689504383e-15
ackley,DE/rand/2,0.9,0.5,10,3.1086244689504383e-15
ackley,DE/rand/2,0.8,0.7,1,9.516831767086842e-13
ackley,DE/rand/2,0.8,0.7,2,4.554134847012392e-12
ackley,DE/rand/2,0.8,0.7,3,2.3017143746528745e-12
ackley,DE/rand/2,0.8,0.7,4,9.658940314238862e-13
ackley,DE/rand/2,0.8,0.7,5,5.715428130770306e-13
ackley,DE/rand/2,0.8,0.7,6,1.1008971512183052e-12
ackley,DE/rand/2,0.8,0.7,7,7.416289804496046e-14
ackley,DE/rand/2,0.8,0.7,8,3.5127456499139953e-13
ackley,DE/rand/2,0.8,0.7,9,3.2893687773594138e-12
ackley,DE/rand/2,0.8,0.7,10,4.0101255649460654e-13
ackley,DE/rand/2,0.75,0.6,1,3.1086244689504383e-15
ackley,DE/rand/2,0.75,0.6,2,3.1086244689504383e-15
ackley,DE/rand/2,0.75,0.6,3,3.1086244689504383e-15
ackley,DE/rand/2,0.75,0.6,4,3.1086244689504383e-15
ackley,DE/rand/2,0.75,0.6,5,3.1086244689504383e-15
ackley,DE/rand/2,0.75,0.6,6,3.1086244689504383e-15
ackley,DE/rand/2,0.75,0.6,7,3.1086244689504383e-15
ackley,DE/rand/2,0.75,0.6,8,3.1086244689504383e-15
ackley,DE/rand/2,0.75,0.6,9,3.1086244689504383e-15
ackley,DE/rand/2,0.75,0.6,10,3.1086244689504383e-15
ackley,DE/best/1,0.9,0.5,1,3.1086244689504383e-15
ackley,DE/best/1,0.9,0.5,2,-4.440892098500626e-16
ackley,DE/best/1,0.9,0.5,3,3.1086244689504383e-15
ackley,DE/best/1,0.9,0.5,4,3.1086244689504383e-15
ackley,DE/best/1,0.9,0.5,5,3.1086244689504383e-15
ackley,DE/best/1,0.9,0.5,6,3.1086244689504383e-15
ackley,DE/best/1,0.9,0.5,7,3.1086244689504383e-15
ackley,DE/best/1,0.9,0.5,8,3.1086244689504383e-15
ackley,DE/best/1,0.9,0.5,9,3.1086244689504383e-15
ackley,DE/best/1,0.9,0.5,10,3.1086244689504383e-15
ackley,DE/best/1,0.8,0.7,1,3.1086244689504383e-15
ackley,DE/best/1,0.8,0.7,2,3.1086244689504383e-15
ackley,DE/best/1,0.8,0.7,3,3.1086244689504383e-15
ackley,DE/best/1,0.8,0.7,4,3.1086244689504383e-15
ackley,DE/best/1,0.8,0.7,5,3.1086244689504383e-15
ackley,DE/best/1,0.8,0.7,6,3.1086244689504383e-15
ackley,DE/best/1,0.8,0.7,7,3.1086244689504383e-15
ackley,DE/best/1,0.8,0.7,8,3.1086244689504383e-15
ackley,DE/best/1,0.8,0.7,9,3.1086244689504383e-15
ackley,DE/best/1,0.8,0.7,10,3.1086244689504383e-15
ackley,DE/best/1,0.75,0.6,1,3.1086244689504383e-15
ackley,DE/best/1,0.75,0.6,2,3.1086244689504383e-15
ackley,DE/best/1,0.75,0.6,3,3.1086244689504383e-15
ackley,DE/best/1,0.75,0.6,4,3.1086244689504383e-15
ackley,DE/best/1,0.75,0.6,5,3.1086244689504383e-15
ackley,DE/best/1,0.75,0.6,6,3.1086244689504383e-15
ackley,DE/best/1,0.75,0.6,7,3.1086244689504383e-15
ackley,DE/best/1,0.75,0.6,8,3.1086244689504383e-15
ackley,DE/best/1,0.75,0.6,9,3.1086244689504383e-15
ackley,DE/best/1,0.75,0.6,10,3.1086244689504383e-15
ackley,DE/current-to-best/1,0.9,0.5,1,3.1086244689504383e-15
ackley,DE/current-to-best/1,0.9,0.5,2,3.1086244689504383e-15
ackley,DE/current-to-best/1,0.9,0.5,3,3.1086244689504383e-15
ackley,DE/current-to-best/1,0.9,0.5,4,3.1086244689504383e-15
ackley,DE/current-to-best/1,0.9,0.5,5,3.1086244689504383e-15
ackley,DE/current-to-best/1,0.9,0.5,6,3.1086244689504383e-15
ackley,DE/current-to-best/1,0.9,0.5,7,3.1086244689504383e-15
ackley,DE/current-to-best/1,0.9,0.5,8,3.1086244689504383e-15
ackley,DE/current-to-best/1,0.9,0.5,9,3.1086244689504383e-15
ackley,DE/current-to-best/1,0.9,0.5,10,3.1086244689504383e-15
ackley,DE/current-to-best/1,0.8,0.7,1,3.1086244689504383e-15
ackley,DE/current-to-best/1,0.8,0.7,2,3.1086244689504383e-15
ackley,DE/current-to-best/1,0.8,0.7,3,3.1086244689504383e-15
ackley,DE/current-to-best/1,0.8,0.7,4,3.1086244689504383e-15
ackley,DE/current-to-best/1,0.8,0.7,5,3.1086244689504383e-15
ackley,DE/current-to-best/1,0.8,0.7,6,3.1086244689504383e-15
ackley,DE/current-to-best/1,0.8,0.7,7,3.1086244689504383e-15
ackley,DE/current-to-best/1,0.8,0.7,8,3.1086244689504383e-15
ackley,DE/current-to-best/1,0.8,0.7,9,3.1086244689504383e-15
ackley,DE/current-to-best/1,0.8,0.7,10,3.1086244689504383e-15
ackley,DE/current-to-best/1,0.75,0.6,1,3.1086244689504383e-15
ackley,DE/current-to-best/1,0.75,0.6,2,3.1086244689504383e-15
ackley,DE/current-to-best/1,0.75,0.6,3,3.1086244689504383e-15
ackley,DE/current-to-best/1,0.75,0.6,4,3.1086244689504383e-15
ackley,DE/current-to-best/1,0.75,0.6,5,3.1086244689504383e-15
ackley,DE/current-to-best/1,0.75,0.6,6,3.1086244689504383e-15
ackley,DE/current-to-best/1,0.75,0.6,7,3.1086244689504383e-15
ackley,DE/current-to-best/1,0.75,0.6,8,3.1086244689504383e-15
ackley,DE/current-to-best/1,0.75,0.6,9,3.1086244689504383e-15
