RESULTADOS EXPERIMENTALES - SUDOKU
Fecha: 2025-11-03 17:10:59

RECOCIDO SIMULADO - Ejecuciones Individuales
Ejecucion,Fitness,Evaluaciones,Generaciones,Tiempo(s),Seed
1,2.00,118000,1000,17.89,1497292713
2,4.00,71862,609,10.38,2455854964
3,4.00,71154,603,10.28,1052716967
4,55.00,118000,1000,16.86,1238850834
5,4.00,68322,579,9.76,2944358807
6,4.00,69266,587,9.86,1521701897
7,52.00,118000,1000,16.90,2809014886
8,6.00,72216,612,10.34,4006490920
9,52.00,118000,1000,16.86,4250460654
10,2.00,63956,542,9.13,1507213990
11,2.00,67850,575,9.76,3683322072
12,2.00,78116,662,11.26,4292023975
13,5.00,64310,545,9.24,2670075708
14,55.00,118000,1000,16.94,1935834140
15,3.00,67614,573,9.70,465580286
16,4.00,63366,537,9.08,3518278038
17,4.00,73750,625,10.58,1607408915
18,2.00,52510,445,7.52,1949669598
19,2.00,52156,442,7.53,1397340804
20,4.00,45312,384,6.50,410335733
21,5.00,57230,485,8.15,2483658673
22,2.00,55342,469,7.87,2608907249
23,55.00,118000,1000,16.78,2546118731
24,2.00,45194,383,6.43,2353230867
25,4.00,74458,631,10.63,910773067
26,8.00,58056,492,8.28,543331801
27,4.00,66198,561,9.40,304779357
28,5.00,46610,395,6.64,3566184100
29,55.00,118000,1000,16.75,274567630
30,4.00,46610,395,6.62,402309321

BÚSQUEDA LOCAL ITERADA - Ejecuciones Individuales
Ejecucion,Fitness,Evaluaciones,Iteraciones,Seed
1,14.00,69319,1001,
2,9.00,69706,1001,
3,10.00,69786,1001,
4,16.00,65858,1001,
5,9.00,67831,1001,
6,12.00,69836,1001,
7,12.00,73130,1001,
8,13.00,69220,1001,
9,10.00,67972,1001,
10,11.00,67490,1001,
11,13.00,68087,1001,
12,14.00,71074,1001,
13,14.00,71065,1001,
14,14.00,72544,1001,
15,13.00,69861,1001,
16,9.00,64655,1001,
17,12.00,69144,1001,
18,14.00,70439,1001,
19,11.00,69509,1001,
20,9.00,71196,1001,
21,14.00,65961,1001,
22,16.00,70223,1001,
23,17.00,70868,1001,
24,15.00,69199,1001,
25,6.00,69222,1001,
26,12.00,67223,1001,
27,9.00,67259,1001,
28,6.00,66345,1001,
29,13.00,72502,1001,
30,15.00,70190,1001,

ALGORITMO MEMÉTICO - Ejecuciones Individuales
Ejecucion,Fitness,Evaluaciones,Generaciones
1,11.00,142152,100
2,13.00,140117,100
3,13.00,158180,100
4,12.00,135549,100
5,6.00,164916,100
6,15.00,125364,100
7,6.00,154056,100
8,11.00,139231,100
9,10.00,142143,100
10,11.00,135538,100
11,11.00,143826,100
12,11.00,141445,100
13,9.00,129059,100
14,6.00,138159,100
15,7.00,142939,100
16,14.00,139686,100
17,15.00,135435,100
18,7.00,143264,100
19,7.00,149270,100
20,15.00,131432,100
21,2.00,151223,100
22,14.00,141632,100
23,11.00,136565,100
24,14.00,133441,100
25,6.00,163059,100
26,13.00,145535,100
27,16.00,143864,100
28,9.00,149388,100
29,11.00,152266,100
30,8.00,155382,100

RESUMEN COMPARATIVO
Algoritmo,Mejor,Peor,Promedio,Mediana,Desv.Est.,Óptimas
Recocido Simulado,2.00,55.00,13.73,4.00,20.19,0
ILS,6.00,17.00,12.07,12.50,2.77,0
Memético,2.00,16.00,10.47,11.00,3.42,0
