RESULTADOS EXPERIMENTALES - SUDOKU
Fecha: 2025-11-03 18:03:07

RECOCIDO SIMULADO - Ejecuciones Individuales
Ejecucion,Fitness,Evaluaciones,Generaciones,Tiempo(s),Seed
1,7.00,32860,310,4.86,4097662451
2,5.00,31376,296,4.62,2314333197
3,7.00,27772,262,4.11,3984535365
4,6.00,29362,277,4.32,2650249427
5,4.00,31906,301,4.69,26786308
6,7.00,31270,295,4.60,237347444
7,6.00,31482,297,4.63,2018028231
8,4.00,32118,303,4.70,2208551077
9,4.00,34874,329,5.10,1569017668
10,4.00,31164,294,4.60,2162812683
11,0.00,17808,168,2.63,1431313848
12,8.00,29892,282,4.36,3701094889
13,5.00,29468,278,4.30,2818372914
14,8.00,34662,327,5.06,3114131596
15,4.00,33920,320,4.95,3456883191
16,7.00,28196,266,4.10,1274067182
17,4.00,30422,287,4.43,2482712799
18,2.00,30528,288,4.42,1702269702
19,6.00,33602,317,4.88,3746146939
20,4.00,36464,344,5.34,3317405366
21,6.00,28514,269,4.18,2216545986
22,7.00,31164,294,4.54,4073655598
23,5.00,33496,316,4.87,4042714962
24,6.00,30316,286,4.41,1988294686
25,4.00,32436,306,4.73,3943290985
26,8.00,28938,273,4.19,4154394516
27,6.00,33708,318,4.89,1518392779
28,4.00,31694,299,4.59,640998921
29,6.00,32754,309,4.76,207641193
30,4.00,27772,262,4.02,2491753006

BÚSQUEDA LOCAL ITERADA - Ejecuciones Individuales
Ejecucion,Fitness,Evaluaciones,Iteraciones,Seed
1,16.00,71772,1001,
2,9.00,64810,1001,
3,9.00,70145,1001,
4,11.00,67496,1001,
5,18.00,71721,1001,
6,10.00,67206,1001,
7,13.00,68548,1001,
8,7.00,68414,1001,
9,15.00,71338,1001,
10,14.00,68358,1001,
11,10.00,71127,1001,
12,13.00,68614,1001,
13,15.00,70269,1001,
14,7.00,67202,1001,
15,13.00,68120,1001,
16,10.00,71572,1001,
17,12.00,68820,1001,
18,14.00,70125,1001,
19,12.00,69373,1001,
20,9.00,67241,1001,
21,16.00,70206,1001,
22,17.00,73954,1001,
23,16.00,70148,1001,
24,10.00,71656,1001,
25,12.00,68383,1001,
26,12.00,68046,1001,
27,10.00,68001,1001,
28,9.00,71128,1001,
29,12.00,70636,1001,
30,15.00,71258,1001,

ALGORITMO MEMÉTICO - Ejecuciones Individuales
Ejecucion,Fitness,Evaluaciones,Generaciones
1,11.00,133201,100
2,7.00,155554,100
3,12.00,142388,100
4,13.00,143423,100
5,6.00,139314,100
6,12.00,138171,100
7,9.00,137669,100
8,12.00,133191,100
9,7.00,133595,100
10,12.00,148070,100
11,13.00,140327,100
12,8.00,138736,100
13,13.00,148344,100
14,8.00,137863,100
15,11.00,142301,100
16,7.00,141613,100
17,8.00,149511,100
18,16.00,139720,100
19,17.00,138302,100
20,17.00,140681,100
21,11.00,135670,100
22,13.00,127132,100
23,16.00,128464,100
24,11.00,142887,100
25,10.00,137765,100
26,11.00,141424,100
27,11.00,152152,100
28,12.00,143196,100
29,11.00,143703,100
30,6.00,132794,100

RESUMEN COMPARATIVO
Algoritmo,Mejor,Peor,Promedio,Mediana,Desv.Est.,Óptimas
Recocido Simulado,0.00,8.00,5.27,5.50,1.79,1
ILS,7.00,18.00,12.20,12.00,2.90,0
Memético,6.00,17.00,11.03,11.00,3.02,0
