RESULTADOS EXPERIMENTALES - SUDOKU
Fecha: 2025-11-04 14:19:34

RECOCIDO SIMULADO - Ejecuciones Individuales
Ejecucion,Fitness,Evaluaciones,Generaciones,Tiempo(s),Seed
1,4.00,30740,290,7.55,3280695164

BÚSQUEDA LOCAL ITERADA - Ejecuciones Individuales
Ejecucion,Fitness,Evaluaciones,Iteraciones,Seed
1,14.00,71046,1001,

ALGORITMO MEMÉTICO - Ejecuciones Individuales
Ejecucion,Fitness,Evaluaciones,Generaciones
1,9.00,134517,100

RESUMEN COMPARATIVO
Algoritmo,Mejor,Peor,Promedio,Mediana,Desv.Est.,Óptimas
Recocido Simulado,4.00,4.00,4.00,4.00,0.00,0
ILS,14.00,14.00,14.00,14.00,0.00,0
Memético,9.00,9.00,9.00,9.00,0.00,0
