variante,F,CR,funcion,mejor,peor,media,mediana,std,q1,q3
DE/best/1,0.75,0.6,ackley,3.1086244689504387e-15,3.1086244689504387e-15,3.108624468950439e-15,3.1086244689504387e-15,3.944304526105059e-31,3.1086244689504387e-15,3.1086244689504387e-15
DE/best/1,0.75,0.6,griewank,0.0221708930881,0.1156199971003151,0.04477811700522161,0.0356930623234927,0.026276235045546666,0.028288460819967776,0.051037275031567006
DE/best/1,0.75,0.6,rastrigin,1.98991811418658,7.959672456746318,4.278323945501147,3.979836228373159,1.607405549639557,3.2336169355531865,4.726055521193132
DE/best/1,0.75,0.6,rosenbrock,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE/best/1,0.75,0.6,sphere,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE/best/1,0.8,0.7,ackley,3.1086244689504387e-15,3.1086244689504387e-15,3.108624468950439e-15,3.1086244689504387e-15,3.944304526105059e-31,3.1086244689504387e-15,3.1086244689504387e-15
DE/best/1,0.8,0.7,griewank,0.0221708930881,0.2065829359622155,0.0887942082957782,0.08238563573111016,0.046169129640322784,0.06395385516174475,0.10208423273158487
DE/best/1,0.8,0.7,rastrigin,1.98991811418658,7.959667418927239,3.880339818881926,3.482356699826525,1.570017601108927,2.9848771712798694,3.979836228373159
DE/best/1,0.8,0.7,rosenbrock,0.0,3.986579112347137,0.39865791123471367,0.0,1.1959737337041412,0.0,0.0
DE/best/1,0.8,0.7,sphere,5.908899509159635e-270,3.3433971266584973e-265,3.678163569838442e-266,7.987533451603557e-268,0.0,1.291227437709923e-268,5.462261101278606e-267
DE/best/1,0.9,0.5,ackley,-4.440892098500626e-16,3.1086244689504387e-15,2.7533531010703887e-15,3.1086244689504387e-15,1.0658141036401504e-15,3.1086244689504387e-15,3.1086244689504387e-15
DE/best/1,0.9,0.5,griewank,0.0024661680160109,0.0467515719633572,0.01698828653310271,0.0110780721360595,0.015581871630037863,0.0055451833944937245,0.022159846689919674
DE/best/1,0.9,0.5,rastrigin,0.0,0.9949590570932968,0.19899181141865935,0.0,0.3979836228373187,0.0,0.0
DE/best/1,0.9,0.5,rosenbrock,2.1666278264843438e-20,8.152666024502108e-18,2.5889943643171024e-18,1.1531175127333648e-18,2.9271300606214095e-18,2.5111988780858996e-19,4.23905489612316e-18
DE/best/1,0.9,0.5,sphere,1.625428807891828e-190,2.412388064998181e-186,2.6204117632386425e-187,1.145741495479104e-188,0.0,3.0872635605649903e-189,3.238513291512123e-188
DE/current-to-best/1,0.75,0.6,ackley,3.1086244689504387e-15,3.1086244689504387e-15,3.108624468950439e-15,3.1086244689504387e-15,3.944304526105059e-31,3.1086244689504387e-15,3.1086244689504387e-15
DE/current-to-best/1,0.75,0.6,griewank,0.0065778982296053,0.0693690487722498,0.028971037385142943,0.0208053676582708,0.019027926598567693,0.017837043414988926,0.03233823159328517
DE/current-to-best/1,0.75,0.6,rastrigin,1.7575776191522152,5.385219925652365,3.829357858543605,4.5430599770415085,1.2850149678398468,2.6799242205276315,4.755457754738924
DE/current-to-best/1,0.75,0.6,rosenbrock,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE/current-to-best/1,0.75,0.6,sphere,1.5e-323,7.0394e-320,8.197e-321,5.73e-322,0.0,2.03e-322,1.53e-321
DE/current-to-best/1,0.8,0.7,ackley,3.1086244689504387e-15,3.1086244689504387e-15,3.108624468950439e-15,3.1086244689504387e-15,3.944304526105059e-31,3.1086244689504387e-15,3.1086244689504387e-15
DE/current-to-best/1,0.8,0.7,griewank,0.047924763491331,0.2029266542980806,0.1039591324139653,0.0984094971411479,0.04517011300134969,0.07082447394119383,0.11625116320596192
DE/current-to-best/1,0.8,0.7,rastrigin,3.381290941349505,7.210479665900593,4.779008083505156,4.316833128921921,1.2626472898915106,3.9796628311016136,5.378846026028125
DE/current-to-best/1,0.8,0.7,rosenbrock,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE/current-to-best/1,0.8,0.7,sphere,1.473847980494461e-264,1.8617011826889537e-258,2.0308585147928496e-259,4.924787116887009e-261,0.0,9.696031868955157e-263,5.587179993970281e-260
DE/current-to-best/1,0.9,0.5,ackley,3.1086244689504387e-15,3.1086244689504387e-15,3.108624468950439e-15,3.1086244689504387e-15,3.944304526105059e-31,3.1086244689504387e-15,3.1086244689504387e-15
DE/current-to-best/1,0.9,0.5,griewank,0.0024661685417961,0.0074020092255876,0.00372528022520256,0.0025503511774308003,0.001646255734274638,0.002475115610573275,0.004949744045691325
DE/current-to-best/1,0.9,0.5,rastrigin,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE/current-to-best/1,0.9,0.5,rosenbrock,3.0700765375747856e-19,2.511400870650596e-17,8.460723837205179e-18,4.574070399916925e-18,7.85657820760807e-18,2.36465588057996e-18,1.2864302222583733e-17
DE/current-to-best/1,0.9,0.5,sphere,2.5559661985546284e-187,5.77395767967712e-181,6.617804374564978e-182,3.7648295616362934e-183,0.0,1.7242293459573437e-184,2.081776399966478e-182
DE/rand/1,0.75,0.6,ackley,-4.440892098500626e-16,3.1086244689504387e-15,2.3980817331903383e-15,3.1086244689504387e-15,1.4210854715202006e-15,3.1086244689504387e-15,3.1086244689504387e-15
DE/rand/1,0.75,0.6,griewank,0.0024661680160109,0.0884168584358652,0.011061237057996332,0.0024661680160109,0.02578520712595629,0.0024661680160109,0.0024661680160109
DE/rand/1,0.75,0.6,rastrigin,0.0,0.0,0.0,0.0,0.0,0.0,0.0
