Generacion,Mejor,Promedio,Peor,Diversidad,Diversidad_Norm
0,814.5743977893,4419.9416188150,11696.6612097056,79.982788,0.499892
1,702.0104194996,3645.0828422051,10397.6750155583,79.100222,0.494376
2,545.6484351640,3115.9354100758,8844.9221111984,77.931939,0.487075
3,455.7889144282,2729.2483432089,8392.7443118405,76.937232,0.480858
4,424.3536830168,2614.7484609949,8040.8823827994,75.802707,0.473767
5,340.9335779581,2369.5265077813,8019.3074841357,74.745778,0.467161
6,332.2211588987,2199.7143507961,7253.0613185736,73.523232,0.459520
7,275.8231590481,2049.8262461980,6931.0705374388,72.020828,0.450130
8,237.8068989521,1912.6963779656,6505.8967265662,70.920081,0.443251
9,229.1027468712,1817.1065710310,7049.9005583583,70.150667,0.438442
10,221.7452486667,1752.7965228967,6510.8267198473,68.919374,0.430746
11,199.5839907439,1635.3986343953,6219.6490429135,67.541394,0.422134
12,184.2193422309,1541.0458731010,5574.7914785152,66.496545,0.415603
13,180.6782435575,1455.8236837374,5833.3709174386,65.166404,0.407290
14,165.9260332390,1379.6606684679,5431.9355561125,64.012343,0.400077
15,152.2913460680,1355.8236856318,5747.2908382419,62.637939,0.391487
16,143.7157475017,1248.7866787540,5129.6605929502,60.707333,0.379421
17,125.4438205039,1102.6311806330,4863.0872526049,58.462727,0.365392
18,125.4429005543,1051.0892633287,5038.9679787089,56.401535,0.352510
19,114.1963487877,977.0381058904,4787.5755186751,54.588970,0.341181
20,101.7198313006,898.8249552028,3920.1222833277,52.659455,0.329122
21,100.6222280430,774.3237097359,3869.3787681535,51.106768,0.319417
22,91.4979052827,761.4640622141,3749.3940022386,49.893616,0.311835
23,89.7563624352,710.4794709066,3451.4169844280,49.451333,0.309071
24,86.4124548649,689.6534677114,3983.5920949316,48.570990,0.303569
25,80.6421758182,707.3745389996,3761.1061491626,48.194404,0.301215
26,78.2266374722,643.4665474811,3363.6622541190,46.997232,0.293733
27,66.0208924930,595.9090314637,3138.4936048649,46.540909,0.290881
28,64.1706377513,568.9139700342,3233.1128098046,45.739111,0.285869
29,62.5877570974,521.8877080301,2776.0455192907,45.477697,0.284236
30,60.0690917835,532.0213706806,3365.1729392588,44.469859,0.277937
31,59.9203802250,482.7903344285,3686.5282393509,43.399253,0.271245
32,57.7411534849,469.2807680047,2731.2839251255,43.078606,0.269241
33,53.0799596700,403.6949901273,2695.1555450869,42.491576,0.265572
34,50.9123766459,392.3406100597,2931.2604815172,41.869273,0.261683
35,45.6186062043,446.9932860393,2715.6757256701,42.049576,0.262810
36,43.4307738265,409.9921951769,2985.5933716152,41.884465,0.261778
37,42.4626373131,383.1054510522,2796.3419395155,41.961778,0.262261
38,39.2682387083,352.5481501800,2877.2744813198,42.063192,0.262895
39,37.7764495213,368.9556064800,3020.4465688226,41.684788,0.260530
40,37.0719742619,354.4696223988,2632.0165698841,41.345980,0.258412
41,35.9948225017,383.1145018149,3183.7895598108,40.974808,0.256093
