Generacion,Mejor,Promedio,Peor,Diversidad,Diversidad_Norm
0,104.0599540395,183.3875342874,268.8224202186,79.929273,0.499558
1,92.5719852475,165.1363464989,259.8860747731,78.260990,0.489131
2,85.6697260706,154.2166562445,239.5248141499,75.508727,0.471930
3,78.8060681907,143.8346405176,241.6169516527,71.899111,0.449369
4,74.0866102110,134.8171525316,228.6175058624,66.721697,0.417011
5,70.3084755840,125.2582554466,220.3386783457,59.978727,0.374867
6,61.8254058437,117.7418504434,213.4672614051,53.584263,0.334902
7,57.8699263920,107.6142798898,203.6379704611,45.474061,0.284213
8,55.5654430777,98.7439091426,179.7692217569,39.132162,0.244576
9,52.4605382139,90.9109857535,171.9739726824,35.637455,0.222734
10,47.1271642907,86.3564505958,175.9526344128,34.229697,0.213936
11,42.9050312168,79.1063141630,163.6154343351,31.331798,0.195824
12,38.5961259639,72.7708457498,152.2835216202,28.189455,0.176184
13,36.9393215239,65.9568043123,132.3499515083,25.895172,0.161845
14,34.1177960599,60.9390170048,121.2070305713,24.046242,0.150289
15,30.8900513093,55.2482749258,128.5721109766,21.741333,0.135883
16,29.2359852306,50.3546505219,111.0835631492,20.304929,0.126906
17,28.0654211616,47.6213691030,104.8106710537,19.150000,0.119687
18,26.5996622557,44.0889477655,100.4681815407,18.720889,0.117006
19,25.5985848855,41.0551931110,94.1892983175,17.614545,0.110091
20,24.4449718220,39.9825073548,91.8605103483,17.184444,0.107403
21,23.4298766444,38.4220204684,90.0796371821,16.831475,0.105197
22,22.3309527203,36.9219712663,81.6178535891,16.555697,0.103473
23,21.5573151729,36.0015477929,86.1299766666,16.691455,0.104322
24,20.8722509176,34.8293219764,89.3349410807,16.362646,0.102267
25,19.7622381054,33.2474509389,83.4335108557,15.720970,0.098256
26,19.3315494258,32.0208097169,79.5520531840,14.616667,0.091354
27,19.0432320282,31.3316368170,77.7152571494,14.091879,0.088074
28,18.4343807384,29.6192443245,80.2735446086,13.784101,0.086151
29,18.2672549442,29.5395480046,76.6964436985,13.993475,0.087459
30,17.6512920579,29.0804064618,80.1765154833,13.937576,0.087110
31,17.4298455731,28.7896410183,78.5047791170,13.530242,0.084564
32,17.0271374733,27.0879297826,80.1650473261,13.544566,0.084654
33,16.5150582256,26.9651186397,79.8072286553,13.364202,0.083526
34,16.3857036683,26.6201108000,75.6971897435,12.972182,0.081076
35,16.0995292798,26.8084810911,77.4894317408,13.038929,0.081493
36,15.8814219883,25.6030221854,73.6299926722,13.298606,0.083116
37,15.7854308047,25.1566031606,74.9811122750,13.481051,0.084257
38,15.5836916714,25.2089930627,78.3521937516,13.479717,0.084248
39,15.4067272497,25.6911288508,77.3442949042,13.227980,0.082675
40,15.1728148685,24.8820529886,79.1978990485,12.989455,0.081184
41,15.1043271786,24.8257194930,75.5360260258,12.966970,0.081044
42,14.9727521221,24.0888067373,79.4369725202,12.640303,0.079002
43,14.8566339204,24.9448643518,81.9571649800,12.781838,0.079886
44,14.7067657433,23.8236737055,75.6758932785,12.961717,0.081011
45,14.5833856937,24.0008629150,75.6165364861,12.941879,0.080887
46,14.5632067037,24.1798671671,78.3982116464,12.803758,0.080023
47,14.3060533745,23.4700796349,82.1799066000,12.768101,0.079801
48,13.9065712696,23.4852394605,76.8374211789,12.913859,0.080712
49,13.7577951934,23.0806952870,71.2319626270,12.816303,0.080102
50,13.6343070515,23.1925703122,75.1599881950,12.673677,0.079210
51,13.5891790183,23.3509219130,70.6392943241,13.234020,0.082713
52,13.4815333896,22.6006492733,74.3383691486,13.286889,0.083043
53,13.4482268652,21.5498111825,72.3335291963,13.057677,0.081610
54,13.3723030995,22.0868728326,76.4783268461,12.923960,0.080775
55,13.3229013325,22.0992649383,71.5396523474,12.703455,0.079397
56,13.3071098455,21.6448562085,69.6079583081,11.975192,0.074845
57,13.3025956897,22.1122471301,68.2827703002,11.500889,0.071881
58,13.2101426216,21.5847238706,69.5836261808,11.197475,0.069984
59,13.1786675395,22.0728360965,74.0448559124,10.921859,0.068262
60,13.1750772111,21.5472048614,71.5204614544,10.602141,0.066263
61,13.0772219246,22.2580346991,78.0854946463,10.875030,0.067969
62,13.0328166760,23.0989089469,77.3207782141,11.008646,0.068804
63,13.0144367046,22.0376852022,76.9724172116,10.709636,0.066935
64,12.9942273254,22.5581507733,73.2577450949,10.986404,0.068665
65,12.8779290934,21.4935615799,77.9379302125,11.207939,0.070050
66,12.6224798147,21.3833662839,68.6439426251,11.467778,0.071674
67,12.6155960509,21.8023044560,69.5354025999,11.722404,0.073265
68,12.6045332844,21.6355523247,71.9300832942,11.683838,0.073024
69,12.5242071836,22.0277229947,75.2847543022,11.610747,0.072567
70,12.5035264423,21.8021816579,68.2420273170,11.593475,0.072459
71,12.4769523171,21.3436881813,73.0958114240,11.437576,0.071485
72,12.4688172815,21.9923474726,71.2995831704,11.218162,0.070114
73,12.3860945171,22.6385651248,73.7305826686,11.298384,0.070615
74,12.3828980259,21.2114466668,69.6288274564,11.280646,0.070504
75,12.3689857681,20.8851286046,71.0999073619,11.300646,0.070629
76,12.3546679883,20.9831400304,74.1671203729,11.388444,0.071178
77,12.3218546376,20.5027922849,65.6068072709,11.194162,0.069964
78,12.3119650121,20.8361146352,83.2700440477,11.126141,0.069538
79,12.0200924525,20.3962639092,66.7681738675,10.925354,0.068283
80,11.7202597829,20.7036446308,68.9015291839,11.014424,0.068840
81,11.4465200989,20.5926403662,66.9813691650,11.078970,0.069244
82,11.4336711941,21.2219537488,68.9148704766,11.288687,0.070554
83,11.4054219269,20.7899098691,76.9793334316,11.281273,0.070508
84,11.3436459058,20.9690036704,68.5126428120,11.076364,0.069227
85,11.2992197017,20.7303412647,69.3770808748,10.963030,0.068519
86,11.2819728212,21.1829053721,82.6750816911,10.997838,0.068736
87,11.1556207728,20.8323876751,75.3076629949,10.554525,0.065966
88,11.1397074490,20.2477220130,69.4336212259,10.439051,0.065244
89,11.0712941089,20.1009799497,72.4408791599,10.302081,0.064388
90,11.0706789284,19.6234256327,73.8797075601,10.168727,0.063555
91,11.0541140119,19.8652478881,72.3777785637,10.210384,0.063815
92,11.0511234422,19.6640243650,72.0948368681,9.828000,0.061425
93,10.7389296915,19.4548698350,69.4999899866,9.622222,0.060139
94,10.7237432148,19.4593939947,67.8053199313,9.490768,0.059317
95,10.7081698506,20.4629503500,76.4661734284,9.347212,0.058420
96,10.7044165585,20.1165943418,74.1751997168,9.122303,0.057014
97,10.6512433352,20.3271484407,74.4652044248,9.118808,0.056993
98,10.6319686308,20.2210926380,76.6229156923,9.293111,0.058082
99,10.6105753102,20.0152303651,77.4555911765,9.652808,0.060330
100,10.3095422057,19.9050611772,78.2811410641,9.428586,0.058929
