Generacion,Mejor,Promedio,Peor,Diversidad,Diversidad_Norm
0,19.1538781317,20.9642275920,21.7621669401,80.047859,0.500299
1,18.2816526013,20.6382762492,21.6283341041,78.402101,0.490013
2,18.0672650511,20.4135984627,21.6160633406,76.115758,0.475723
3,17.5818786290,20.1496628770,21.5215925607,73.130263,0.457064
4,16.7781713237,19.8494898739,21.4561323875,69.059758,0.431623
5,16.6024011595,19.4828733521,21.3858466175,62.195010,0.388719
6,16.0930568518,19.0451793246,21.2782567161,53.921939,0.337012
7,15.2586475090,18.6041964843,21.1895591832,48.300283,0.301877
8,14.6267651582,18.2301278040,20.9898681075,44.263414,0.276646
9,14.1729563140,17.5492529081,20.7921511710,37.576404,0.234853
10,13.4889104553,16.8896912659,20.8086842336,33.115636,0.206973
11,12.5017640082,16.4340021449,20.4481176934,30.073657,0.187960
12,11.8526909266,15.8175201159,20.1237156596,29.520202,0.184501
13,11.6415220490,15.2978789388,20.1208694855,26.047455,0.162797
14,10.7427980670,14.3727295123,19.9198763384,22.717758,0.141986
15,10.2504830660,13.9458437938,20.1132159012,22.358566,0.139741
16,9.7567435258,13.3999992690,20.0685166393,21.919717,0.136998
17,9.3038086763,13.0089963113,19.6082856501,21.732444,0.135828
18,8.4754300115,12.2609906791,19.5161877966,20.888889,0.130556
19,8.1489349436,11.9474073181,19.6434297394,20.578949,0.128618
20,7.8392054879,11.3998790566,19.4321364540,20.131838,0.125824
21,7.5964487165,10.9769747885,19.6446235226,19.947131,0.124670
22,7.1730211225,10.1656135303,19.2839678155,20.012566,0.125079
23,6.5245953020,10.2056904413,19.6810203466,19.939697,0.124623
24,6.0688825929,9.9607738992,19.2642749301,19.638101,0.122738
25,5.7285673043,9.6172379282,19.2600930787,19.279475,0.120497
26,5.3967331746,8.9423335890,19.0440284911,19.405091,0.121282
27,5.0643013970,8.6433812010,19.1170852294,19.241737,0.120261
28,4.7627346301,8.5244059638,19.2313144358,18.916687,0.118229
29,4.4501922560,8.0355641684,19.5079385190,18.339919,0.114624
30,4.1745985243,7.7252831561,18.8962759473,17.854970,0.111594
31,3.9583340227,7.3342271535,19.3223963399,17.453980,0.109087
32,3.7424405846,7.1619983137,19.0019959226,17.470141,0.109188
33,3.5402071169,7.0514410606,19.1278614466,16.962323,0.106015
34,3.3863914296,6.8078694208,18.8340902818,16.785172,0.104907
35,3.2463561942,6.3003310506,18.8931631454,16.308485,0.101928
36,3.0067686020,6.1449762102,18.6843251075,16.241111,0.101507
37,2.9097063102,6.0052559530,18.4589051916,15.819778,0.098874
38,2.7424400639,6.1515043140,18.8422383841,16.098586,0.100616
39,2.4339660535,6.0355931318,18.9071572648,15.918747,0.099492
40,2.3126969049,5.5308627825,18.7995309957,15.704828,0.098155
41,2.1718742161,5.7819951896,19.0831035313,15.747515,0.098422
42,2.0835879786,5.4750455884,18.8642200976,15.744869,0.098405
43,1.9377172705,5.5378354526,19.0140889573,15.934606,0.099591
44,1.7899458236,5.3238971341,18.8435186193,15.750242,0.098439
45,1.7269552631,5.1901967591,18.9374117864,15.251313,0.095321
46,1.5849545401,4.6978941130,18.5351916597,14.627354,0.091421
47,1.5400658383,4.9889680522,18.7209277025,14.488707,0.090554
48,1.3743450476,4.8447404740,18.6413297128,14.390687,0.089942
49,1.2291062690,5.0258088270,18.7018302437,14.760525,0.092253
50,1.1961191488,4.6318534252,18.6840325365,14.731556,0.092072
51,1.0747243441,4.4103115068,18.5734465867,14.942323,0.093390
52,1.0019725349,4.2401862383,18.1423284497,14.746263,0.092164
53,0.9623664734,4.5470744024,18.6131541482,14.902020,0.093138
54,0.8469555494,4.0320423204,18.3023368945,14.457475,0.090359
55,0.7532780528,4.1898017673,18.3479244663,14.138889,0.088368
56,0.7050211433,3.9488510548,18.3222433440,13.618586,0.085116
57,0.5984470720,3.8584145895,18.5199892111,13.445960,0.084037
