Generacion,Mejor,Promedio,Peor,Diversidad,Diversidad_Norm
0,32.2075690492,85.7159845286,145.8833228970,80.010990,0.500069
1,32.2075690492,96.2539597504,162.6099843806,78.959576,0.493497
2,32.2075690492,106.4716802922,172.7907085458,77.688222,0.485551
3,32.2075690492,117.1476167268,190.6338429147,75.795596,0.473722
4,32.2075690492,127.7773863936,197.8428073614,73.741495,0.460884
5,32.2075690492,137.5595576062,203.6450890361,71.061758,0.444136
6,32.2075690492,144.5726571668,210.2297987047,68.007475,0.425047
7,32.2075690492,151.9322977141,215.6619936361,65.464384,0.409152
8,32.2075690492,158.3274724753,218.3815465418,63.006162,0.393789
9,32.2075690492,163.8730323543,226.6141362844,60.930081,0.380813
10,32.2075690492,167.8438327551,229.1066984055,58.887677,0.368048
11,32.2075690492,172.1814637360,230.4974164471,57.100505,0.356878
12,32.2075690492,175.6438406433,234.2844018107,55.936242,0.349602
13,32.2075690492,178.9908722500,235.8982061818,54.601636,0.341260
14,32.2075690492,181.8938956789,236.7415137142,53.601495,0.335009
15,32.2075690492,184.3150315123,239.9387790255,52.247899,0.326549
16,32.2075690492,186.9025997681,240.3526314648,51.712121,0.323201
17,32.2075690492,188.8793003380,241.8959294703,50.596404,0.316228
18,32.2075690492,189.7451328600,243.8770485275,50.208323,0.313802
19,32.2075690492,191.4823566898,244.4389159964,49.456343,0.309102
20,32.2075690492,193.1423420106,246.6147554197,49.146182,0.307164
21,32.2075690492,194.4497202422,247.3412917177,48.720465,0.304503
22,32.2075690492,195.0951610097,249.0562206250,49.152263,0.307202
23,32.2075690492,195.5041036121,249.9751605241,49.167980,0.307300
24,32.2075690492,196.6974297638,251.0315223269,48.921838,0.305761
25,32.2075690492,197.6994287262,251.6384881594,48.744121,0.304651
26,32.2075690492,198.7744566681,251.5878920206,48.241232,0.301508
27,32.2075690492,199.7390747779,252.1113035358,48.284182,0.301776
28,32.2075690492,199.6304829495,253.4906707085,47.997556,0.299985
29,32.2075690492,200.8626575036,254.3156745769,47.552081,0.297201
30,32.2075690492,201.2686973444,254.4100087057,47.417939,0.296362
31,32.2075690492,201.6724299854,255.0770303163,46.998263,0.293739
32,32.2075690492,202.5070569911,255.5181490271,46.313859,0.289462
33,32.2075690492,203.0659630278,255.6637187820,46.102404,0.288140
34,32.2075690492,202.3776092031,255.7981247929,46.491071,0.290569
35,32.2075690492,204.0614352491,256.2396365088,46.200667,0.288754
36,32.2075690492,203.9439060828,256.5405382209,46.038141,0.287738
37,32.2075690492,204.0823562028,256.5827645486,46.110485,0.288191
38,32.2075690492,205.7496717960,256.8866149736,45.677030,0.285481
39,32.2075690492,205.3686606371,257.3120153776,45.690626,0.285566
40,32.2075690492,204.9204047139,257.2812837024,45.741535,0.285885
41,32.2075690492,205.5924073868,257.4030713985,45.730606,0.285816
42,32.2075690492,206.0042287971,257.5152400511,45.480384,0.284252
43,32.2075690492,204.9175057162,258.1384624101,45.871010,0.286694
44,32.2075690492,206.3070495393,258.3542297418,45.513737,0.284461
45,32.2075690492,206.3642265994,258.1582305182,45.492283,0.284327
46,32.2075690492,206.7248072839,258.4798104248,45.609838,0.285061
47,32.2075690492,206.7863117489,258.6488224771,45.671576,0.285447
48,32.2075690492,207.4359641714,258.8081038467,45.549515,0.284684
49,32.2075690492,207.6160255045,259.0445595881,45.173899,0.282337
50,32.2075690492,206.9730938533,259.1769711387,45.524303,0.284527
51,32.2075690492,207.4066916021,259.2488864584,45.129273,0.282058
52,32.2075690492,207.3187901026,259.2620606837,45.657818,0.285361
53,32.2075690492,206.7759555171,259.3596486472,45.636202,0.285226
54,32.2075690492,207.2089491471,259.4869626740,45.474848,0.284218
55,32.2075690492,207.8929770105,259.3777550933,45.403414,0.283771
56,32.2075690492,207.5774530358,259.6589071205,45.359354,0.283496
57,32.2075690492,207.5528231843,259.7775138260,45.497172,0.284357
58,32.2075690492,207.1839930720,259.7083479458,45.638485,0.285241
59,32.2075690492,207.2491283066,259.9157826941,45.857657,0.286610
60,32.2075690492,207.8659657570,259.9211346445,45.837636,0.286485
61,32.2075690492,207.8484199563,259.9940502486,45.998970,0.287494
62,32.2075690492,207.9607518509,260.0327624652,45.650000,0.285313
63,32.2075690492,208.0012362513,260.1030485261,45.743677,0.285898
64,32.2075690492,207.4524235031,259.9550393706,46.368525,0.289803
65,32.2075690492,207.0176651463,260.0735182353,46.506141,0.290663
66,32.2075690492,207.1797722996,260.1069019933,46.348990,0.289681
67,32.2075690492,208.1073718198,260.2948797026,46.442525,0.290266
68,32.2075690492,208.2276754582,260.2629146939,46.286202,0.289289
69,32.2075690492,208.0750897907,260.3572228795,46.340121,0.289626
70,32.2075690492,207.4447649026,260.4649347262,46.584667,0.291154
71,32.2075690492,207.8056335460,260.3547525795,46.480646,0.290504
72,32.2075690492,207.6972826119,260.4650268335,46.627091,0.291419
73,32.2075690492,208.7072380952,260.5472249474,46.277293,0.289233
74,32.2075690492,207.6830439386,260.6654967452,46.504081,0.290651
75,32.2075690492,207.3046665005,260.7290243578,46.621758,0.291386
76,32.2075690492,207.8553106421,260.6689081677,46.207111,0.288794
77,32.2075690492,208.7421466913,260.6179270611,45.808364,0.286302
78,32.2075690492,209.5894626487,260.7467012693,45.767051,0.286044
79,32.2075690492,209.3980047812,260.7725598416,45.079919,0.281749
80,32.2075690492,209.5207845449,260.8841228165,45.054667,0.281592
81,32.2075690492,208.0964362670,260.8542258592,45.407111,0.283794
82,32.2075690492,208.6442580855,260.8619470275,45.257414,0.282859
83,32.2075690492,208.5895281217,260.8811999637,45.195859,0.282474
84,32.2075690492,210.0242194247,260.9293447825,44.904747,0.280655
85,32.2075690492,209.4815981449,260.9862574813,44.806889,0.280043
86,32.2075690492,209.4663171696,260.9966359767,44.845657,0.280285
87,32.2075690492,209.3658923368,261.0298209787,45.021455,0.281384
88,32.2075690492,208.9585022869,261.0322207882,45.130000,0.282062
89,32.2075690492,209.2694134157,261.0391023606,45.076788,0.281730
90,32.2075690492,210.0290414865,260.9766750990,45.113838,0.281961
91,32.2075690492,208.7949599721,261.1313327435,45.538444,0.284615
92,32.2075690492,208.5390631993,260.9681896252,45.900121,0.286876
93,32.2075690492,209.4500262460,261.1426605258,45.717434,0.285734
94,32.2075690492,209.1165134757,261.1992921857,45.850505,0.286566
95,32.2075690492,209.0853260666,261.1463927832,45.563515,0.284772
96,32.2075690492,209.0393681712,261.1946520343,45.309253,0.283183
97,32.2075690492,208.2875877355,261.1707594741,45.431899,0.283949
98,32.2075690492,209.8224287567,261.1791644278,44.656566,0.279104
99,32.2075690492,209.1062858582,261.2758368800,44.867556,0.280422
100,32.2075690492,208.9802337308,261.3184055424,44.764626,0.279779
