Generacion,Mejor,Promedio,Peor,Diversidad,Diversidad_Norm
0,677.4208663437,4493.4227661752,11116.7697089960,79.998545,0.499991
1,565.1429522547,3075.8152912315,8668.2820210616,78.464263,0.490402
2,480.6056741235,2458.1218391512,7878.8349981662,76.181152,0.476132
3,328.7367545357,1906.3025899780,7337.0515282038,73.268404,0.457928
4,249.8883804949,1690.1945754732,6918.1844191253,68.128606,0.425804
5,210.8996770549,1606.3998528134,6888.8306270845,64.380747,0.402380
6,186.1052096853,1332.9782197025,5882.0407891297,60.957071,0.380982
7,149.0289765697,1099.1863657581,5809.0023673907,56.313859,0.351962
8,124.0668551730,907.9758071696,4844.9774672752,50.308828,0.314430
9,109.6162207577,737.1212235556,4314.9876027288,43.287818,0.270549
10,102.3785782042,619.2042257659,3562.6703195977,37.715293,0.235721
11,86.7829569945,537.2342122815,3767.5408808667,35.237374,0.220234
12,74.6128259803,474.5088234124,3989.6272951581,33.158040,0.207238
13,65.2629557618,421.8143221914,3449.3952102675,29.455374,0.184096
14,59.5482493016,319.2251537595,3301.7391948595,26.348848,0.164680
15,55.5334345185,319.7317838794,2898.7036952610,24.538040,0.153363
16,45.7619769054,291.4268963492,2981.5916272608,23.700364,0.148127
17,42.8581044026,252.4158372402,2269.6500353759,23.068020,0.144175
18,40.2736290095,230.5301343026,2386.3192086341,22.252747,0.139080
19,35.2045662531,188.0624797269,2210.3203259634,21.427919,0.133924
20,30.6440370606,187.8195829682,2584.0137488490,20.854566,0.130341
21,27.6712078876,175.5368437932,1929.3218634441,20.635717,0.128973
22,25.7431081951,185.3430197274,2008.5317092932,20.709394,0.129434
23,24.2576548644,187.7189928866,2648.8863324252,20.692990,0.129331
24,21.8612618250,183.4075786227,2376.7155840995,20.604384,0.128777
25,20.6857967011,167.8110019078,2170.8598726584,19.759939,0.123500
26,19.3034193015,139.7579952055,2260.2472789065,19.199010,0.119994
27,16.7131071056,162.0633032896,2817.9618409284,19.105838,0.119411
28,15.6293809715,164.5437620817,2770.5510166581,19.108202,0.119426
29,14.8507903830,134.5072238901,2302.5321584936,18.993192,0.118707
30,14.0743111123,147.2172329324,2247.9160680429,18.100404,0.113128
31,13.1318816023,160.7135812011,2904.4002659047,17.954162,0.112214
32,12.7789962278,151.5983012038,2177.9793406510,18.239354,0.113996
33,12.3805884672,169.1167515926,2159.7777244918,18.653455,0.116584
34,11.9533688573,144.4991412107,2253.0149837263,18.147818,0.113424
35,11.4387656995,152.3273462645,2291.5934651614,17.362364,0.108515
36,11.2667605706,152.2683296416,2397.5708945514,17.025152,0.106407
37,11.0931812301,166.7446252081,2250.2363158430,17.154343,0.107215
38,10.8984827623,144.6781213073,2140.0748394941,16.695596,0.104347
