Funcion,Ejecucion,Fitness,Diversidad_Final
sphere,1,0.0000063112,0.039213
sphere,2,0.0000033326,0.047283
sphere,3,0.0000052370,0.051499
sphere,4,0.0000055300,0.056034
sphere,5,0.0000033815,0.059138
sphere,6,0.0000092410,0.053246
sphere,7,0.0000014283,0.042449
sphere,8,0.0000027955,0.040348
sphere,9,0.0000028932,0.041335
sphere,10,0.0000110477,0.048657
ackley,1,0.0345579323,0.046717
ackley,2,0.0175632456,0.047872
ackley,3,0.0095886494,0.044029
ackley,4,0.0180060361,0.046072
ackley,5,0.0210343996,0.066720
ackley,6,0.0138119240,0.049806
ackley,7,0.0073575438,0.044254
ackley,8,0.0180934562,0.038537
ackley,9,0.0272804135,0.062292
ackley,10,0.0153878330,0.051258
griewank,1,0.0274018775,0.059332
griewank,2,0.1414991115,0.040130
griewank,3,0.1282565081,0.033910
griewank,4,0.0762092116,0.054394
griewank,5,0.0080153445,0.040090
griewank,6,0.4129967671,0.050331
griewank,7,0.1297178264,0.043941
griewank,8,0.1866657936,0.048298
griewank,9,0.1793666379,0.050597
griewank,10,0.1933621893,0.047848
rastrigin,1,6.4579343508,0.059073
rastrigin,2,8.4315749072,0.075854
rastrigin,3,3.5192747104,0.075655
rastrigin,4,9.4750775690,0.078601
rastrigin,5,15.6548056339,0.043051
rastrigin,6,13.8296175421,0.065112
rastrigin,7,12.3853649075,0.052665
rastrigin,8,11.8174316211,0.058795
rastrigin,9,12.8344382108,0.036199
rastrigin,10,8.6899026041,0.044280
rosenbrock,1,8.9448866841,0.053193
rosenbrock,2,7.7739335698,0.067066
rosenbrock,3,9.5787263172,0.046345
rosenbrock,4,10.0853704545,0.042006
rosenbrock,5,10.0154718174,0.060278
rosenbrock,6,0.7700772108,0.046600
rosenbrock,7,8.7429013096,0.059449
rosenbrock,8,8.9530069358,0.065975
rosenbrock,9,7.6272158976,0.051686
rosenbrock,10,7.6128744702,0.036154

ESTADISTICAS RESUMEN

Funcion,Mejor,Peor,Promedio,Mediana,Desv.Est.
sphere,0.0000014283,0.0000110477,0.0000051198,0.0000043092,0.0000028971
ackley,0.0073575438,0.0345579323,0.0182681433,0.0177846408,0.0075983905
griewank,0.0080153445,0.4129967671,0.1483491268,0.1356084689,0.1071534127
rastrigin,3.5192747104,15.6548056339,10.3095422057,10.6462545950,3.4886900446
rosenbrock,0.7700772108,10.0853704545,8.0104464667,8.8438939969,2.5664536082
