Generacion,Mejor,Promedio,Peor,Diversidad,Diversidad_Norm
0,32.0400436828,88.2126325378,148.0986093835,80.004828,0.500030
1,28.3674871091,72.2405699766,132.4671322303,78.559414,0.490996
2,24.3768674891,62.0197297017,125.7519762664,76.397091,0.477482
3,22.1129392056,56.1228152924,118.0360046675,72.885434,0.455534
4,17.7605109856,49.0503168229,112.3559403797,67.453111,0.421582
5,13.8400445709,43.3392973633,109.7686737719,61.282384,0.383015
6,11.6028780807,38.1398259802,103.5469234953,54.756606,0.342229
7,8.8302653381,31.5618760955,85.6236909301,49.430788,0.308942
8,8.2551756931,27.3376798926,78.1665085618,44.880747,0.280505
9,7.1377717052,23.0382406310,69.6204998941,40.445071,0.252782
10,5.9404446240,18.4546333551,61.8192225180,34.791899,0.217449
11,5.0349503403,15.6860451556,66.0861404088,32.253818,0.201586
12,4.3536227414,14.5628465321,53.8978643632,30.832283,0.192702
13,3.7011569509,12.0053047672,46.4303876719,28.706485,0.179416
14,3.3221406969,10.7306106204,49.4687017750,27.389778,0.171186
15,2.3864754143,9.6050947574,40.5899173025,27.061899,0.169137
16,2.0443739538,7.9969009374,40.5232470257,26.607778,0.166299
17,1.6190474046,6.9573978467,44.7218261659,25.500242,0.159377
18,1.3422807163,5.8382356425,41.4800046755,24.515333,0.153221
19,1.0705346987,4.9168209504,36.8693610705,24.222202,0.151389
20,0.9862549343,4.4498615876,33.7047627229,24.220081,0.151376
21,0.7524601872,4.5070941314,36.1810002443,23.017717,0.143861
22,0.5832881788,4.0915777717,38.6578631411,22.300404,0.139378
23,0.5049152500,4.1623586563,38.9682476474,21.774020,0.136088
24,0.4347688857,3.3183867630,33.3417377088,21.107859,0.131924
25,0.3443161448,3.8178149159,37.6445710316,20.852465,0.130328
26,0.2761525607,3.4358632546,34.9565132815,20.023212,0.125145
27,0.2435415216,3.2183365217,37.9924226139,19.425636,0.121410
28,0.1955522251,3.1107012581,33.6248093552,19.189818,0.119936
29,0.1632946293,2.9881542091,34.5344576426,19.230626,0.120191
30,0.1439610901,2.9489422302,35.3086230650,19.381273,0.121133
31,0.1223707877,3.1887387676,34.0647910294,19.728606,0.123304
32,0.0894515604,2.9362980973,37.2280337106,19.645717,0.122786
33,0.0741487301,2.8293327061,34.1472077877,19.211475,0.120072
34,0.0523539585,2.8182303222,33.7067388868,18.737919,0.117112
35,0.0496682369,3.1607772556,36.2709014400,18.200747,0.113755
36,0.0394473781,2.9217711502,42.8110493629,17.908444,0.111928
37,0.0371026972,2.5778408279,30.6962591731,17.989273,0.112433
38,0.0305611206,2.8076651465,36.5497610682,17.683172,0.110520
39,0.0263017475,2.5956889609,34.7705396568,17.472646,0.109204
40,0.0215056783,3.0065767085,35.8405376814,17.583051,0.109894
41,0.0192279330,2.9511209250,30.6747027145,17.785556,0.111160
42,0.0165204675,2.2587666642,29.5060526998,17.350848,0.108443
43,0.0148583416,2.6685209287,33.8782641994,16.565071,0.103532
44,0.0118337083,2.7533545134,38.6685192036,16.311172,0.101945
45,0.0107133323,3.2074821184,39.2138813154,16.206444,0.101290
46,0.0091624012,2.9070343260,31.7208654756,16.021798,0.100136
47,0.0070334983,3.0769299157,39.3058907736,15.450566,0.096566
48,0.0062353880,2.7875208983,36.6260684115,15.210929,0.095068
49,0.0055108493,3.1333629611,41.1179602578,14.944545,0.093403
50,0.0049923179,2.6357456414,31.8746325949,14.795354,0.092471
51,0.0032079128,2.4176913171,34.1585111600,14.627859,0.091424
52,0.0031211084,2.5424517527,33.4191256516,14.532566,0.090829
53,0.0027998730,2.7313334906,35.7852548664,14.596687,0.091229
54,0.0022875185,2.5865385674,37.9571311609,14.842384,0.092765
55,0.0019137815,2.4575034349,33.5565159723,14.683495,0.091772
56,0.0015782928,2.5142675080,37.7187499555,14.319778,0.089499
57,0.0014064760,2.6146020746,41.1574144354,14.142485,0.088391
58,0.0012644209,2.5477287204,38.9393897160,13.985414,0.087409
59,0.0009789630,2.7775187191,38.5635750391,13.796909,0.086231
60,0.0007701382,2.9289428714,37.6442152932,14.064081,0.087901
61,0.0007073043,2.5058535049,29.2298670790,13.405697,0.083786
62,0.0006531425,2.5362294809,32.3402452954,12.564343,0.078527
63,0.0005990197,3.2357456624,35.4542727882,12.175131,0.076095
64,0.0005366936,3.1897468216,37.9478761666,12.142384,0.075890
65,0.0004112113,2.7279556603,33.1829078569,11.965455,0.074784
66,0.0002977117,3.1616076833,44.0780056589,11.754828,0.073468
67,0.0002843422,2.5167941949,30.6032789382,11.408525,0.071303
68,0.0001895444,2.4418793187,35.0617555410,11.356364,0.070977
69,0.0001747392,2.9731790539,32.7971049211,11.312909,0.070706
70,0.0001595630,2.3916483356,33.4134119127,11.048343,0.069052
71,0.0001297769,2.7725325111,36.6114395325,10.965354,0.068533
72,0.0000993219,2.8557944696,37.2825353006,10.933899,0.068337
73,0.0000934819,3.3634300292,41.0320903863,10.588525,0.066178
74,0.0000886087,2.8735905014,37.5108267792,10.524081,0.065776
75,0.0000834962,2.7810987660,32.9918555812,10.335414,0.064596
76,0.0000701657,2.6145799467,33.2100849411,10.014404,0.062590
77,0.0000656441,2.8770526451,31.6367038740,10.161515,0.063509
78,0.0000601801,3.3644045102,32.4802972012,10.049798,0.062811
79,0.0000484317,2.7449087268,35.3375094788,9.593576,0.059960
80,0.0000428846,2.8252993040,35.0295142837,9.197818,0.057486
81,0.0000402478,2.8057309957,38.8328131579,9.011010,0.056319
82,0.0000350230,2.7629220739,39.2819215558,8.850182,0.055314
83,0.0000249641,2.9377933890,38.1524713751,8.805434,0.055034
84,0.0000239338,2.8520620537,34.5351678596,8.962667,0.056017
85,0.0000201105,2.7806468407,37.4029855536,8.813152,0.055082
86,0.0000193536,2.7544571510,39.7016578270,8.830263,0.055189
87,0.0000178106,2.8966051273,32.4909623558,8.678020,0.054238
88,0.0000152959,2.8754434027,33.2467813052,8.486768,0.053042
89,0.0000144414,2.5503695734,33.3517649973,8.509919,0.053187
90,0.0000127274,2.3895086744,33.9147078360,8.344990,0.052156
91,0.0000102029,2.6050665858,36.7510829591,8.265394,0.051659
92,0.0000095389,2.3596583818,37.7611820952,8.209374,0.051309
93,0.0000076052,2.6061057423,34.5554031891,8.250141,0.051563
94,0.0000070681,2.6754483309,41.2168412734,8.190747,0.051192
95,0.0000065993,2.4210043049,36.5233938573,8.100687,0.050629
96,0.0000059450,3.1179806963,32.7468156862,7.969253,0.049808
97,0.0000055593,2.8673746250,41.1941661429,7.832343,0.048952
98,0.0000052565,2.9914660257,39.7927032226,7.667596,0.047922
99,0.0000049342,2.6214372001,34.3481442176,7.669818,0.047936
100,0.0000043776,2.6517955428,37.7707540816,7.596141,0.047476
