Generacion,Mejor,Promedio,Peor,Diversidad,Diversidad_Norm
0,113.9692340100,303.5543138738,542.2335510887,80.025111,0.500157
1,100.8822240376,246.5574247639,477.1951389924,78.542202,0.490889
2,85.9869481460,217.7338888290,440.2402907155,76.044990,0.475281
3,67.0267242491,194.7524377712,422.5414195184,72.711394,0.454446
4,57.7803186940,174.2079052285,421.6374036689,69.183556,0.432397
5,44.3933445265,149.7220862682,385.3637593047,61.295434,0.383096
6,40.9999056773,129.3021707137,326.5441188882,52.751697,0.329698
7,36.0493500763,114.7059894640,339.8015697136,47.720768,0.298255
8,30.6230166911,95.4609825425,272.2226918535,42.874808,0.267968
9,28.4344936126,83.3576651754,241.8376313257,37.471899,0.234199
10,25.2862532258,70.8770452596,231.4945411303,33.730889,0.210818
11,21.9648939118,61.3141786073,211.3098228068,29.726586,0.185791
12,17.8674428759,50.0991365975,179.6546147165,26.407535,0.165047
13,14.9363216375,43.3354073301,196.6907527266,25.222707,0.157642
14,12.7734692692,39.2156588672,153.8290485852,24.384566,0.152404
15,10.8887847826,32.9877767675,146.9189537307,23.830162,0.148939
16,8.9953043483,29.6171133390,131.2654794320,23.395293,0.146221
17,7.3082104849,27.3096773430,133.7620794552,23.128364,0.144552
18,6.0108304971,25.0240039461,135.3948074764,22.514101,0.140713
19,4.9856967665,21.7520905156,151.7700983487,22.201616,0.138760
20,4.2893509424,19.0395054896,140.5009174395,21.696283,0.135602
21,3.8228236648,16.3454538554,127.1054948768,21.185919,0.132412
22,3.0781949509,16.0135341764,120.7117307656,20.529051,0.128307
23,2.7807567051,14.3912710691,119.5980202638,19.833152,0.123957
24,2.4718529297,13.3454929874,105.5591628126,19.046848,0.119043
25,2.2301619043,13.3331542537,111.9986160245,19.293960,0.120587
26,1.9905683765,14.1683643954,120.2080987013,19.086424,0.119290
27,1.8699230362,14.3182818191,136.3402495023,18.573515,0.116084
28,1.7564747174,12.3710490414,115.7410923711,18.479778,0.115499
29,1.5844702243,12.9764644740,128.8104879226,18.875333,0.117971
30,1.4089014254,14.2224335301,134.2598242985,18.918242,0.118239
31,1.3381963440,11.0168880079,114.6633328339,18.763273,0.117270
32,1.2956167403,12.2573661733,128.2745531937,18.579818,0.116124
33,1.2608664427,10.7780783960,124.0844769858,18.259111,0.114119
34,1.2215917801,9.1340476941,118.5854497717,17.625131,0.110157
35,1.1632292424,11.1681481336,121.9240840512,17.492283,0.109327
36,1.1485812063,10.6306794450,112.4950235463,17.394081,0.108713
37,1.0651084382,12.9182277142,128.6637934654,17.730081,0.110813
38,1.0445795246,11.8310389707,128.7853139651,17.802889,0.111268
39,1.0136222773,10.9883204256,120.3748111144,17.124566,0.107029
40,0.9511177097,10.2610030886,121.5466919453,16.606263,0.103789
41,0.9172523258,9.9209345945,116.9272365483,16.401859,0.102512
42,0.8632345079,12.6221262132,135.6903465795,16.455879,0.102849
43,0.8304560437,11.1776684543,129.0345904873,16.018646,0.100117
44,0.8060703135,12.0559488795,130.4238219618,15.600162,0.097501
45,0.7618680676,10.3935257795,114.1387521264,15.210162,0.095064
46,0.7353686813,11.8462481086,126.4179964182,14.896101,0.093101
47,0.6841187597,10.9555467330,139.5369320914,14.784283,0.092402
48,0.6613201505,10.2844879766,117.1637038032,14.507071,0.090669
49,0.6457530330,11.8974445695,121.9784156338,14.442303,0.090264
50,0.6029023212,10.3136571125,132.4205599534,13.907859,0.086924
51,0.5906078026,11.4113870295,149.5201219616,13.263737,0.082898
52,0.5851589487,10.8191287423,131.4369143355,12.565737,0.078536
53,0.5716904357,10.1464737441,125.1796990628,12.656768,0.079105
54,0.5385202288,11.1412012054,138.6305497974,12.342869,0.077143
55,0.5170591574,11.2340312105,138.2223998696,12.008667,0.075054
