Generacion,Mejor,Promedio,Peor,Diversidad,Diversidad_Norm
0,103.9919130718,184.6081108693,267.3417666379,80.029495,0.500184
1,102.6436641304,197.3489350762,286.7478421140,79.056081,0.494101
2,102.6436641304,211.3028936253,295.5948445370,77.679495,0.485497
3,102.6436641304,223.7597891996,308.0641856135,75.665131,0.472907
4,102.6436641304,232.5207167215,323.0322375962,73.083798,0.456774
5,102.6436641304,242.9927634408,327.9533046365,70.096747,0.438105
6,102.6436641304,250.1444144398,339.3612976319,67.946242,0.424664
7,102.6436641304,258.1960804464,344.3327700508,65.222687,0.407642
8,102.6436641304,265.2094194618,345.2138808614,62.319818,0.389499
9,102.6436641304,270.2303083337,350.6623185467,60.434202,0.377714
10,102.6436641304,275.8993141515,354.2571938806,58.247495,0.364047
11,102.6436641304,280.0878314615,357.7228060116,56.711354,0.354446
12,102.6436641304,284.8788990118,363.0178847334,55.081434,0.344259
13,102.6436641304,289.5413648514,364.7035771673,53.076020,0.331725
14,102.6436641304,293.3394516378,367.6795662081,51.758929,0.323493
15,102.6436641304,296.2221689599,370.1674780155,51.064141,0.319151
16,102.6436641304,299.4746663724,371.3946522185,50.286485,0.314291
17,102.6436641304,301.8058412090,374.7071254327,49.771030,0.311069
18,102.6436641304,303.6029096256,375.4789478305,48.936707,0.305854
19,102.6436641304,305.3955090067,378.3230972548,48.476727,0.302980
20,102.6436641304,307.8908759288,379.8419783246,47.872283,0.299202
21,102.6436641304,307.7099677930,380.6324913478,47.957253,0.299733
22,102.6436641304,310.5011519438,381.0995530548,46.937152,0.293357
23,102.6436641304,310.3928239525,382.3295940363,47.752687,0.298454
24,102.6436641304,310.2205896444,383.4434064834,47.982848,0.299893
25,102.6436641304,312.2614614724,384.6302519876,47.841253,0.299008
26,102.6436641304,313.3314011379,386.5252266377,48.000303,0.300002
27,102.6436641304,313.2847327426,388.3191884817,48.363798,0.302274
28,102.6436641304,315.7547503466,388.0120367231,47.893960,0.299337
29,102.6436641304,315.7456736052,389.7556432403,48.133636,0.300835
30,102.6436641304,317.1145416610,389.8599164084,47.973374,0.299834
31,102.6436641304,317.0310401028,390.0301266814,48.234909,0.301468
32,102.6436641304,319.4072753379,390.1176628837,47.967475,0.299797
33,102.6436641304,318.6897201348,390.4857595535,48.182606,0.301141
34,102.6436641304,319.5463493218,390.8605043931,48.160566,0.301004
35,102.6436641304,320.9189103117,391.8864149903,47.638909,0.297743
36,102.6436641304,321.8031185234,392.3643354209,47.188949,0.294931
37,102.6436641304,321.9922322275,392.9142237828,47.171596,0.294822
38,102.6436641304,323.2441325965,392.7616375189,47.274768,0.295467
39,102.6436641304,323.1673687307,393.2158304407,47.207354,0.295046
40,102.6436641304,322.8819055166,393.6516288555,46.780040,0.292375
41,102.6436641304,323.5328511931,394.0847511273,46.495374,0.290596
42,102.6436641304,323.6560532973,394.4040412706,46.844162,0.292776
43,102.6436641304,324.3766035521,394.9554009841,46.729535,0.292060
44,102.6436641304,323.7746415728,395.5715192546,47.027071,0.293919
45,102.6436641304,324.6272778400,395.3291680980,46.838485,0.292741
46,102.6436641304,325.5723599095,396.2222480380,46.517576,0.290735
47,102.4191024691,324.8261435831,396.8843920234,46.707313,0.291921
48,102.4191024691,326.9549734573,397.8738558213,46.013212,0.287583
49,102.4191024691,326.6521686225,398.1284865159,46.367192,0.289795
50,102.4191024691,327.8364028108,398.1652932388,45.888343,0.286802
51,102.4191024691,327.7764218301,398.2691325383,45.769313,0.286058
52,102.4191024691,326.7423405815,398.6196578491,46.340990,0.289631
53,102.4191024691,326.9319782290,398.9247501491,45.958909,0.287243
54,102.4191024691,327.0624507383,399.1763965892,45.960444,0.287253
55,102.4191024691,327.7270839118,399.5267492586,46.032727,0.287705
56,102.4191024691,329.2041257751,399.9637028095,45.665495,0.285409
57,102.4191024691,328.7606698582,399.9723448707,45.833111,0.286457
58,102.4191024691,329.8839862118,399.8844352278,45.406263,0.283789
59,102.4191024691,329.1759525045,400.1115058468,45.616465,0.285103
60,102.4191024691,328.8635183687,400.2762894682,45.149313,0.282183
61,102.4191024691,329.9513466947,400.3206985834,44.930505,0.280816
62,102.4191024691,330.9085787470,400.3613627192,45.023899,0.281399
63,102.4191024691,331.9698882358,400.3566597672,44.843515,0.280272
64,102.4191024691,330.6304405417,400.4762661054,45.497172,0.284357
65,102.4191024691,331.6447839972,400.5583880939,45.073515,0.281709
66,100.9354294242,330.2949757799,400.5828275033,45.271152,0.282945
67,100.9354294242,330.8917984622,400.5505290833,44.932707,0.280829
68,100.9354294242,331.0918479453,400.7216643006,44.870303,0.280439
69,100.9354294242,330.9700199525,400.5829014918,45.011313,0.281321
70,100.9354294242,331.7864937934,400.6583449333,44.836101,0.280226
71,100.9354294242,331.0486642569,400.6241221531,45.331212,0.283320
72,100.9354294242,330.7182083316,400.7432570458,45.464182,0.284151
73,100.9354294242,330.4378237541,400.8047562722,45.466949,0.284168
74,100.9354294242,331.4926827290,400.8442814855,45.386263,0.283664
75,100.9354294242,331.9517203900,400.8559559734,44.961636,0.281010
76,100.9354294242,330.5638185635,400.9492911677,45.291313,0.283071
77,100.9354294242,329.5765543303,400.9493884419,45.510828,0.284443
78,100.9354294242,330.6255970469,400.8660033298,45.213879,0.282587
79,100.9354294242,330.2704063295,400.7836858326,45.412707,0.283829
80,100.9354294242,330.1980682602,400.8305351537,45.444081,0.284026
81,100.9354294242,330.4132344049,400.8974314965,45.648343,0.285302
82,100.9354294242,330.2088029871,400.9663066637,45.821960,0.286387
83,100.9354294242,329.5346430649,400.9521309995,46.183152,0.288645
84,100.9354294242,332.1271907167,400.9493569690,45.495899,0.284349
85,100.9354294242,331.6203247959,400.9893340111,45.212929,0.282581
86,100.9354294242,331.5700415321,401.0106716461,45.337172,0.283357
87,100.9354294242,331.8972159361,401.0523718342,45.417657,0.283860
88,100.9354294242,330.9342732433,401.0060894679,45.510020,0.284438
89,100.9354294242,330.9644952870,401.0495296085,45.737798,0.285861
90,100.9354294242,331.3934066805,401.7755268750,45.640747,0.285255
91,100.9354294242,331.3443939724,401.3911282867,45.341879,0.283387
92,100.9354294242,329.9152332652,401.4385549389,45.579515,0.284872
93,100.9354294242,330.9679328820,401.7988672479,45.625798,0.285161
94,100.9354294242,330.9551229597,401.8264360811,45.588141,0.284926
95,100.9354294242,329.3407475797,401.8272378425,45.998364,0.287490
