Funcion,Ejecucion,Fitness,Diversidad_Final
sphere,1,29.3634918600,0.295489
sphere,2,26.7803266029,0.279020
sphere,3,35.3323293841,0.279244
sphere,4,33.9513213703,0.293635
sphere,5,29.5859321444,0.281436
sphere,6,32.0057929550,0.275527
sphere,7,37.9487381851,0.268202
sphere,8,30.2780245542,0.269432
sphere,9,31.6675125632,0.277004
sphere,10,35.1622208726,0.278802
ackley,1,19.2520569302,0.272837
ackley,2,19.2978612423,0.292508
ackley,3,19.4734815527,0.271451
ackley,4,19.4299782955,0.290154
ackley,5,17.6321522248,0.269040
ackley,6,18.3947685571,0.284220
ackley,7,18.6790960643,0.287539
ackley,8,19.7453154084,0.269540
ackley,9,18.3397594552,0.261644
ackley,10,19.5691934886,0.287643
griewank,1,112.7549746126,0.274110
griewank,2,94.7337713125,0.284621
griewank,3,108.8243554093,0.290525
griewank,4,129.8116338566,0.280664
griewank,5,144.6899196830,0.276372
griewank,6,102.6330440521,0.267797
griewank,7,74.5133373071,0.276143
griewank,8,168.4480503718,0.272712
griewank,9,116.5326095984,0.264441
griewank,10,104.1498810013,0.290600
rastrigin,1,104.7276254931,0.283835
rastrigin,2,99.2846171336,0.293753
rastrigin,3,107.5097936315,0.275929
rastrigin,4,99.2179634436,0.275290
rastrigin,5,106.6944814893,0.298157
rastrigin,6,99.3361678439,0.300809
rastrigin,7,104.4636032832,0.299607
rastrigin,8,112.5732342037,0.286960
rastrigin,9,83.1624560128,0.265741
rastrigin,10,92.3843517072,0.280946
rosenbrock,1,834.0030640615,0.281335
rosenbrock,2,702.6353238822,0.256258
rosenbrock,3,428.9210904536,0.301372
rosenbrock,4,193.5340535423,0.262591
rosenbrock,5,1043.1408387115,0.286737
rosenbrock,6,846.6041136327,0.264207
rosenbrock,7,856.1012510910,0.286621
rosenbrock,8,766.2663125251,0.279027
rosenbrock,9,927.2547717768,0.276812
rosenbrock,10,391.0831716218,0.293628

ESTADISTICAS RESUMEN

Funcion,Mejor,Peor,Promedio,Mediana,Desv.Est.
sphere,26.7803266029,37.9487381851,32.2075690492,31.8366527591,3.2088630697
ackley,17.6321522248,19.7453154084,18.9813663219,19.2749590862,0.6491173873
griewank,74.5133373071,168.4480503718,115.7091577205,110.7896650110,25.1368754031
rastrigin,83.1624560128,112.5732342037,100.9354294242,101.8998855635,7.9742600254
rosenbrock,193.5340535423,1043.1408387115,698.9543991298,800.1346882933,257.4909566692
