Generacion,Mejor,Promedio,Peor,Diversidad,Diversidad_Norm
0,718.0341313102,4412.9972943753,10932.7748432752,80.011495,0.500072
1,698.9543991298,5401.1726777541,12799.7730931126,78.972990,0.493581
2,698.9543991298,6473.3922851590,14731.9582399087,77.403879,0.483774
3,698.9543991298,7663.1292704603,16775.3048543940,75.076465,0.469228
4,698.9543991298,8879.5027136226,17817.4112699429,72.221798,0.451386
5,698.9543991298,10096.5896614384,19174.6611133118,69.730525,0.435816
6,698.9543991298,11423.5587810772,20293.7942707276,66.761596,0.417260
7,698.9543991298,12598.6439849317,21556.5521796441,63.741939,0.398387
8,698.9543991298,13651.3791115865,22627.1611629450,60.797414,0.379984
9,698.9543991298,14665.5599986994,23590.6442634144,58.071232,0.362945
10,698.9543991298,15611.1199081351,24440.5459431524,55.992162,0.349951
11,698.9543991298,16355.5606640212,24970.7502293068,53.724020,0.335775
12,698.9543991298,16997.3696236227,25442.3870180394,52.850485,0.330316
13,698.9543991298,17657.1710914400,26209.4868462229,51.533434,0.322084
14,698.9543991298,18177.1016478761,26970.7588726072,50.734081,0.317088
15,698.9543991298,18778.5032983398,27315.7667245031,49.720646,0.310754
16,698.9543991298,19262.3153465916,27767.5923027812,49.164364,0.307277
17,698.9543991298,19760.0282314431,28313.7507052727,48.790444,0.304940
18,698.9543991298,19987.6739147441,28726.0258708489,49.260384,0.307877
19,698.9543991298,20327.2879720650,29121.7544497062,48.730646,0.304567
20,698.9543991298,20729.8539786451,29460.7321237871,48.606586,0.303791
21,698.9543991298,21145.5639831385,29707.0274514824,47.971374,0.299821
22,698.9543991298,21492.3770483555,30167.9023766685,48.205859,0.301287
23,698.9543991298,21816.5854212753,30411.5498433675,48.245051,0.301532
24,698.9543991298,22076.1187618819,30818.3406262343,48.829253,0.305183
25,698.9543991298,22403.5086857256,30956.7485195047,48.140141,0.300876
26,698.9543991298,22526.9018202373,31425.3015580170,48.147333,0.300921
27,698.9543991298,22745.1429208437,31374.6030608270,47.660283,0.297877
28,698.9543991298,22938.6745918869,31778.8816947436,47.978444,0.299865
29,698.9543991298,23169.0084609476,31979.7992467192,47.765616,0.298535
30,698.9543991298,23367.8824487815,32190.2584031303,47.718889,0.298243
31,698.9543991298,23616.1326773708,32288.7303946465,47.624949,0.297656
32,698.9543991298,23935.2817755385,32545.8541126355,47.050687,0.294067
33,698.9543991298,23980.4210337726,32738.9005378653,47.209939,0.295062
34,698.9543991298,24248.4496247855,32858.3654638577,46.867657,0.292923
35,698.9543991298,24415.7441878022,32996.8108389526,47.097131,0.294357
36,698.9543991298,24489.5029855441,33096.8668671963,47.242141,0.295263
37,698.9543991298,24597.2592722106,33158.7144006999,46.864040,0.292900
38,698.9543991298,24619.2580793547,33326.9435311604,47.237960,0.295237
39,698.9543991298,24724.4119960727,33475.7047818880,46.903152,0.293145
40,698.9543991298,24836.8867796457,33662.6091165428,46.998828,0.293743
41,698.9543991298,24982.9043299695,33641.5810446525,46.971636,0.293573
42,698.9543991298,25060.5205442450,33662.5065284205,47.481091,0.296757
43,698.9543991298,25166.1302245077,33772.5733405108,47.170687,0.294817
44,698.9543991298,25169.0946445238,33783.9113248653,47.137838,0.294611
45,698.9543991298,25248.8823298264,33903.0491474971,47.129071,0.294557
46,698.9543991298,25276.4636682291,33979.5695607738,47.136727,0.294605
47,698.9543991298,25464.3747958448,34063.6018104779,46.639475,0.291497
48,698.9543991298,25427.5650942452,34097.8923801542,47.013414,0.293834
49,698.9543991298,25629.4377292699,34195.5756041799,46.545616,0.290910
50,698.9543991298,25873.4028171638,34243.6186032016,46.031737,0.287698
51,698.9543991298,25517.1659518209,34270.2570889468,46.813616,0.292585
52,698.9543991298,25564.0193434842,34298.8214887494,46.548525,0.290928
53,698.9543991298,25415.2243072756,34357.9790013695,46.938182,0.293364
54,698.9543991298,25690.6329043182,34382.9104110689,46.380162,0.289876
55,698.9543991298,25810.3871786838,34422.8819319944,45.734384,0.285840
56,698.9543991298,25801.0144279711,34440.9512250425,45.735091,0.285844
57,698.9543991298,25721.5768831095,34483.6171681522,45.754909,0.285968
58,698.9543991298,25832.7377642685,34494.7718295645,45.371172,0.283570
59,698.9543991298,25816.6385830816,34584.1471141208,45.495939,0.284350
60,698.9543991298,25746.4939904812,34560.8900993619,45.579051,0.284869
61,698.9543991298,26036.5987821110,34610.3946869210,45.073313,0.281708
62,698.9543991298,26038.8606850586,34632.5228238400,45.161535,0.282260
63,698.9543991298,26076.5325556220,34688.3938832790,44.774323,0.279840
64,698.9543991298,25962.0200847725,34675.0092385551,45.143576,0.282147
65,698.9543991298,26148.4601705076,34713.5744962306,45.111394,0.281946
66,698.9543991298,26246.5703288512,34734.9642675684,44.914162,0.280714
67,698.9543991298,26008.4678786015,34734.9729374245,44.981919,0.281137
68,698.9543991298,26033.4233473316,34735.4448410373,45.073212,0.281708
69,698.9543991298,26147.8469942445,34750.3096017472,45.121414,0.282009
70,698.9543991298,26136.6123961277,34749.5330366374,45.465717,0.284161
71,698.9543991298,25753.9249970568,34753.9899872897,46.245960,0.289037
72,698.9543991298,26140.5419268979,34759.8895316193,45.689677,0.285560
73,698.9543991298,26054.8668381627,34753.0236840986,46.328000,0.289550
74,698.9543991298,26088.6573816731,34776.6854426165,46.126929,0.288293
75,698.9543991298,26296.0220388250,34788.4028912076,45.800141,0.286251
76,698.9543991298,26137.3815825571,34815.7160871338,45.981192,0.287382
77,698.9543991298,26057.6502020908,34827.1660665779,46.340081,0.289626
