Generacion,Mejor,Promedio,Peor,Diversidad,Diversidad_Norm
0,33.2398232071,88.0703448155,154.7338959081,79.996061,0.499975
1,25.0332875164,70.9438836429,132.1302721211,78.502667,0.490642
2,20.6637668118,61.8990395221,127.6631064835,76.187212,0.476170
3,17.1630961916,56.5276821671,117.6338868588,73.434727,0.458967
4,16.2015802178,51.8562152288,122.2422069017,69.863192,0.436645
5,13.7688276563,45.2615294033,108.9767325775,64.122404,0.400765
6,12.0267470366,40.1536168261,103.8758879241,57.800242,0.361252
7,11.1427070649,34.8822465422,94.2000125200,53.782505,0.336141
8,10.3073634181,32.3127049780,102.2040592822,49.604323,0.310027
9,8.4665456153,27.0810631323,84.3774167692,45.066525,0.281666
10,7.4437968744,23.1836346543,72.5902910271,37.971899,0.237324
11,6.2310323640,18.9253253642,65.3281526384,32.606202,0.203789
12,5.6390263093,16.3291254040,61.2090517976,31.718869,0.198243
13,4.3776946674,14.6375829572,53.2570180485,29.843313,0.186521
14,3.8071935902,12.8793917243,53.8918028647,28.252000,0.176575
15,3.1607272505,10.7277468618,48.0525221703,26.932384,0.168327
16,2.5757465908,10.1751660587,49.7126869650,26.232424,0.163953
17,2.3427413014,9.2532406761,53.2158487647,25.177859,0.157362
18,1.8031633603,7.4719197346,39.7634506063,24.219980,0.151375
19,1.4331858733,7.6698268864,44.1719416652,24.367434,0.152296
20,1.2846088391,7.0333946890,47.0389441048,24.262101,0.151638
21,1.0281335610,7.3458080321,42.8628799290,23.250384,0.145315
22,0.8286364084,5.4072503452,39.5062800872,22.175475,0.138597
23,0.6861154282,5.0702365830,44.6871699618,21.437172,0.133982
24,0.5900685420,4.8393868157,41.3318909856,20.787354,0.129921
25,0.4883083613,3.9740002158,34.6277914040,20.280000,0.126750
26,0.4378481740,3.9103126043,32.6021735719,20.121212,0.125758
27,0.3418894301,3.9698692158,38.7074833273,20.143313,0.125896
28,0.2931445686,3.7274110038,39.7294518637,19.569556,0.122310
29,0.2548053419,3.4699682407,36.5213125877,19.340505,0.120878
30,0.1820080568,3.1310967379,31.2924012428,18.920909,0.118256
31,0.1432414588,3.2247293538,34.0512895920,18.460889,0.115381
32,0.1196978301,3.2372616815,35.2671656475,18.320364,0.114502
