Generacion,Mejor,Promedio,Peor,Diversidad,Diversidad_Norm
0,807.2554738886,4379.4129149841,10417.5195977555,79.961596,0.499760
1,618.3212206507,2980.9017853005,8281.7515423831,78.199455,0.488747
2,431.7420854827,2420.4460821494,7996.5936275276,75.916364,0.474477
3,329.0786154841,1991.7126904720,6904.7399396262,72.419293,0.452621
4,289.7653689693,1723.0977009347,7095.6569117729,68.718990,0.429494
5,225.6710348549,1553.0252235942,6456.9916447753,62.111434,0.388196
6,206.9460313781,1217.1767589382,6088.7745084468,55.952061,0.349700
7,177.1732125516,1016.9405005296,5386.7199008994,47.803677,0.298773
8,152.2338282788,845.2720821107,4965.5645455214,40.224222,0.251401
9,132.7568236001,723.8856603001,5065.3116874491,36.190909,0.226193
10,105.8024453392,571.8158556933,3020.9285571569,32.403838,0.202524
11,88.5765274368,475.1941173095,2983.8333816512,28.872828,0.180455
12,83.1148572212,394.8370671883,3597.9621757425,26.571838,0.166074
13,77.3021784296,344.8266569553,2745.6782294047,23.165838,0.144786
14,73.1617238275,260.6660751544,2135.0103638029,19.648687,0.122804
15,65.8684385473,225.8813040948,1915.5108445849,19.072040,0.119200
16,62.9174201943,211.9076561985,1998.3267933686,18.762343,0.117265
17,58.2959215775,204.8939364391,2104.2299374598,18.626990,0.116419
18,51.8179898959,213.4779238068,2388.8959746329,18.549535,0.115935
19,48.8373991678,189.7255304329,2115.7901388432,17.983232,0.112395
20,45.9811095316,168.7871388218,2043.2379363634,17.516646,0.109479
21,45.1440622429,178.3654493317,1973.8847964312,17.699394,0.110621
22,43.0714305207,156.1341615971,2404.1526476390,18.487131,0.115545
23,41.1310682128,177.5650105474,2222.2218747918,18.659758,0.116623
24,39.7632951217,186.1636291636,2136.3064034235,18.280465,0.114253
25,39.0412559598,193.6782116524,2258.1454341647,18.049253,0.112808
26,38.1696916754,171.1717469129,2036.3817862159,18.452909,0.115331
27,36.9127654115,181.9760809981,2239.8708726633,18.224404,0.113903
28,36.5300416873,161.9111122127,1989.6909941533,18.273596,0.114210
29,35.1513689385,193.4074460258,2177.6671578097,18.094081,0.113088
30,32.1788437162,156.0026652023,2044.2360686496,18.013414,0.112584
31,31.7746559809,173.7461177292,2229.0267071601,17.681939,0.110512
32,31.1452755597,190.1789270420,2550.2964649819,17.886747,0.111792
33,30.5701533096,180.1300838960,2503.8027715578,17.586990,0.109919
34,30.1027681439,193.7343560540,2760.9723137133,17.318202,0.108239
35,29.8520669990,166.9091552539,2445.4939930266,17.141818,0.107136
36,29.7155264365,176.4410416468,2174.2236251172,17.083434,0.106771
