Generacion,Mejor,Promedio,Peor,Diversidad,Diversidad_Norm
0,19.1092366567,20.9294249756,21.7228821498,80.036646,0.500229
1,18.8193667590,20.6134716565,21.5992796157,78.456121,0.490351
2,17.8639148584,20.3699953667,21.5379697180,75.902505,0.474391
3,17.5298360041,20.1164052341,21.5766775332,72.212566,0.451329
4,17.0715909694,19.8068180998,21.4105053089,65.785859,0.411162
5,16.6723409084,19.5422718399,21.4175763214,60.939636,0.380873
6,16.2941595805,19.2361610667,21.3479531296,57.216687,0.357604
7,15.9252668664,18.8165102249,21.2579820157,51.827576,0.323922
8,15.0031440857,18.3863719758,21.1654053194,46.884990,0.293031
9,14.7559331019,17.9534276180,20.9172028099,41.860566,0.261629
10,13.9230016719,17.4776482768,20.7965469636,39.096808,0.244355
11,13.7596862189,16.9532020981,20.3137801250,37.061152,0.231632
12,12.7298232078,16.3162616607,20.3385640261,34.060061,0.212875
13,12.0488457414,15.8000508067,20.2790192661,32.143172,0.200895
14,11.4245521876,15.2334497311,20.2374727974,30.359030,0.189744
15,10.8263203636,14.6838263923,20.0170167532,28.777778,0.179861
16,10.0085624300,13.8983230448,19.8748937678,27.235838,0.170224
17,9.3297649317,13.2473029345,19.9570372683,26.687636,0.166798
18,8.8367346995,12.7722056279,19.7189402201,25.674424,0.160465
19,8.1433221260,12.0136888972,19.8415214298,24.094424,0.150590
20,7.6426801015,11.4650469383,19.5794914484,22.982667,0.143642
21,7.2029157942,11.0618236318,19.4009271938,22.425859,0.140162
22,6.7375715331,10.4047421383,19.4961453342,22.068263,0.137927
23,6.0049668158,9.8941457470,19.3401476468,21.722869,0.135768
24,5.7165108901,9.4730202672,19.5823727888,21.327172,0.133295
25,5.4136254552,9.1029985134,19.7347875010,20.907111,0.130669
26,5.0936745171,8.2643348845,19.3136754392,20.347879,0.127174
27,4.7428461472,8.0781202668,19.2440041911,19.246141,0.120288
28,4.5376297493,7.8607321558,19.3508740200,18.513030,0.115706
29,4.3519734017,7.7678813670,19.2730894939,18.156000,0.113475
30,4.1993010892,7.4407230899,18.8624753824,18.138364,0.113365
31,4.0449895775,6.9183622696,18.9887736549,17.648747,0.110305
32,3.7156729928,6.7228805445,18.9808886412,17.264283,0.107902
33,3.4818439827,6.4702937291,18.9866577093,17.078646,0.106742
34,3.1971050698,6.4226025430,19.0361339797,17.252141,0.107826
35,3.0153161171,6.3391520404,18.9494223511,17.401556,0.108760
36,2.9682012023,6.4591356249,19.0736006273,17.358828,0.108493
37,2.8264648429,6.1045113320,19.0681557103,16.804465,0.105028
38,2.6349878365,5.8984635508,18.8243490633,16.270990,0.101694
39,2.3920165541,5.8665107418,18.9503958654,16.629475,0.103934
40,2.3064562325,5.7400425033,18.9596026471,16.888444,0.105553
41,2.1506833414,5.5836044853,18.7322608178,16.691798,0.104324
42,2.0035224444,5.6324925798,18.8019893280,16.349677,0.102185
43,1.8222090043,5.3200224904,18.6856024390,16.336444,0.102103
44,1.7198936877,5.2601067361,18.9756978465,16.346020,0.102163
45,1.6327326120,5.0687523958,18.6645132062,16.235030,0.101469
46,1.5429320243,4.8305572575,18.9395760736,15.723919,0.098274
47,1.4130125916,4.6969320694,18.6879387139,15.561939,0.097262
48,1.2911109990,4.5177988654,18.5850517943,15.239596,0.095247
49,1.2178534020,4.5719338161,18.1859173946,14.791980,0.092450
50,1.1293305457,4.4047545894,18.4118551277,14.546343,0.090915
51,1.0452030334,4.4377588344,18.6792920299,14.335212,0.089595
52,0.9548710082,4.4266748164,18.5350343861,13.920081,0.087001
53,0.8895576991,4.2511695654,18.6878468343,13.672485,0.085453
54,0.8754687852,4.1392207774,18.3930519791,13.476202,0.084226
55,0.7870391059,4.0949002570,18.2260799139,13.166061,0.082288
56,0.6968229908,4.0907640195,18.2667335052,12.854040,0.080338
57,0.6488294762,4.0677117771,18.3676631904,12.649374,0.079059
58,0.5985898179,3.7150063298,18.6836778113,12.578970,0.078619
59,0.5720336949,4.1325617964,18.2114132853,12.783556,0.079897
60,0.5157236374,3.7314794591,18.4094242234,12.276283,0.076727
61,0.4998039955,3.9630657331,18.4259323911,11.830586,0.073941
62,0.4610431247,3.8162811091,18.4116254274,11.709414,0.073184
63,0.4480814700,3.7213556775,18.3603549006,11.505758,0.071911
64,0.4292562874,4.0248244966,18.0946600360,11.345010,0.070906
65,0.4121450471,3.8590498570,18.5642176803,11.096061,0.069350
66,0.3686731537,3.6278231104,18.3871035762,10.904424,0.068153
67,0.3164224144,3.7605464334,18.0196948222,10.799091,0.067494
68,0.2941600993,3.7338926979,18.1527270071,10.965374,0.068534
69,0.2849571669,3.6745104334,18.0474115425,10.991859,0.068699
70,0.2549150460,3.4504564245,17.9682737386,11.112889,0.069456
71,0.2054764679,3.7749241490,18.3520994747,11.183798,0.069899
72,0.1862042539,3.5948832823,18.2218922656,10.997838,0.068736
73,0.1758600069,3.4627156514,18.5867830165,10.381818,0.064886
74,0.1704673545,3.7904579679,18.1795411795,10.316828,0.064480
75,0.1188088069,3.7325476651,18.3769643295,10.417455,0.065109
76,0.1050515614,3.8367001191,18.0947353493,10.113737,0.063211
77,0.0981390646,3.3735426062,18.1769273940,9.943798,0.062149
78,0.0939806875,3.3692510622,18.1558713764,9.899576,0.061872
79,0.0868925937,3.7578526137,18.3478944611,9.722263,0.060764
80,0.0823323612,3.6191130279,18.0694953170,9.716101,0.060726
81,0.0691142914,3.6362998108,18.0802206366,9.777960,0.061112
82,0.0664607299,3.7595874070,18.1240232244,9.358040,0.058488
83,0.0605228712,3.3279244425,18.2323490622,9.141899,0.057137
84,0.0527747679,3.3134656013,18.1969345051,9.213697,0.057586
85,0.0486450550,3.6862531239,18.1641692584,9.504263,0.059402
86,0.0454259299,3.5929657722,18.0091982520,9.210000,0.057563
87,0.0432487435,3.2666379928,18.0276470092,9.040242,0.056502
88,0.0404206867,3.3860250660,18.0289424227,8.892040,0.055575
89,0.0396783751,3.5593706652,18.0883968291,8.798727,0.054992
90,0.0355322058,3.0900166645,18.2602307300,8.431960,0.052700
91,0.0335391183,3.3386330262,18.3919802772,8.365232,0.052283
92,0.0310740804,2.9969852053,17.8644028019,8.056303,0.050352
93,0.0267589365,3.5753160908,17.9872508181,8.031212,0.050195
94,0.0251370925,3.6404892997,17.9428622533,8.092788,0.050580
95,0.0242144069,3.6166435497,18.1825156037,7.973677,0.049835
96,0.0228914640,3.2465855207,17.7765320429,7.762869,0.048518
97,0.0214205922,3.1341793897,17.7460006615,7.759414,0.048496
98,0.0201020709,3.1871045171,18.2257568599,7.624384,0.047652
99,0.0193299261,3.2799703150,18.2202756627,7.572727,0.047330
100,0.0186967536,3.3375274335,18.1114256339,7.406020,0.046288
