Generacion,Mejor,Promedio,Peor,Diversidad,Diversidad_Norm
0,115.2378778409,300.7860989838,509.5239115402,79.982263,0.499889
1,95.0216187555,263.5691177834,499.4592965936,79.001071,0.493757
2,81.9905951734,242.2598947075,451.1638879773,77.790909,0.486193
3,79.4977123726,225.2861670934,441.6114706196,76.437192,0.477732
4,73.3082637801,213.9994736073,449.9955317546,75.015091,0.468844
5,70.3342088879,201.4288439257,434.8472905088,73.108970,0.456931
6,65.3063400913,194.6790404487,419.8272018580,70.840667,0.442754
7,59.5108061451,190.1015602758,446.3193346998,69.675071,0.435469
8,51.9375853341,180.3031127525,411.5942816114,67.594404,0.422465
9,50.7492398750,165.0091324284,386.0041902849,65.023576,0.406397
10,49.9151864552,160.1299760387,389.1730692206,62.460202,0.390376
11,46.2800927873,153.3090966499,385.8832239311,60.613737,0.378836
12,39.0555656485,144.3965524967,364.6012285396,58.366384,0.364790
13,35.4699929303,133.6013763777,353.3984776482,56.260707,0.351629
14,32.0214172353,124.3274816685,319.5671778748,53.743455,0.335897
15,31.3927823231,116.8996116596,320.3670129030,51.198162,0.319989
16,28.0892310056,109.7627948624,313.4222199471,50.166667,0.313542
17,26.0932814920,102.8980152421,300.7136930228,49.015333,0.306346
18,23.8761750430,97.8699726990,295.5801938368,49.057960,0.306612
19,23.1045655871,92.7495192807,296.5018654154,47.942566,0.299641
20,22.3110744985,88.8492697705,260.2699036788,47.376081,0.296101
21,19.8283989093,87.0228559652,259.8905321059,46.433111,0.290207
22,17.0994488565,76.6520600819,241.3334161534,44.407758,0.277548
23,15.4371230173,70.5902520167,240.1466417834,43.332606,0.270829
24,13.5566790024,65.1080614687,219.5026483240,42.832545,0.267703
25,12.2117307644,61.3064677061,212.0759827849,42.028828,0.262680
26,11.5826795962,55.7195890474,206.2108726774,41.398707,0.258742
27,11.4617152327,51.0848941750,180.8819556482,40.399212,0.252495
28,9.5117465764,48.5824360917,181.7421376554,39.710970,0.248194
29,8.6634523711,45.5529689737,207.8101234736,39.044182,0.244026
30,8.0828598682,45.6800301564,186.4513155378,38.647838,0.241549
31,7.7677007226,41.4773012877,169.2833510648,38.101091,0.238132
32,6.9909489182,36.8367026616,161.4036841501,37.657636,0.235360
33,6.4498864641,37.0910892263,182.3479552627,37.269232,0.232933
34,6.2673438178,37.0763930660,185.8764505180,37.357374,0.233484
35,5.5667316223,33.6327645458,153.7376248273,37.089758,0.231811
36,5.1213180386,32.1786228010,170.0823744589,36.945051,0.230907
37,4.8411578601,31.1493460265,158.5066587287,36.227879,0.226424
38,4.4547150713,32.8208697580,158.3176176471,35.898707,0.224367
39,3.8848530755,30.4343468570,159.1094385667,35.346586,0.220916
40,3.6431411062,28.6740523863,180.5720465692,34.817091,0.217607
41,3.5115457315,27.9922738349,154.3880552342,34.638768,0.216492
42,3.1864870727,28.3570993046,161.1831285957,34.375556,0.214847
43,2.8907183428,27.5535459014,170.9989912350,34.399051,0.214994
44,2.8072824042,26.5489322117,151.0499260017,33.935394,0.212096
45,2.7376250752,24.3569870584,162.7093085390,33.462303,0.209139
46,2.7007359407,25.3736437679,159.1350652092,33.306343,0.208165
47,2.6370629883,25.8136960080,183.0372546930,33.395475,0.208722
48,2.4353259355,23.7246351468,162.3952279582,33.651111,0.210319
49,2.2952375984,22.6848588546,152.0073445256,33.607657,0.210048
50,2.1891678956,22.8275052664,155.2476225370,33.155212,0.207220
51,2.1849420767,22.4669798738,129.6705824863,32.838990,0.205244
52,2.0163490086,21.2618403646,149.6334582102,32.330727,0.202067
53,1.8577518900,20.7680237126,136.3121916178,32.189354,0.201183
54,1.8339288244,18.0654743246,123.2885448448,31.651616,0.197823
55,1.7246675692,20.0084715476,170.2493090350,31.527394,0.197046
56,1.6575075168,20.2639257747,143.1425213796,31.615051,0.197594
57,1.6250121851,18.6656240810,147.6650666341,31.564788,0.197280
58,1.5836270203,18.5612706278,144.1489943243,31.546848,0.197168
59,1.4602194779,19.3856989322,142.1563214853,31.580747,0.197380
60,1.4602194779,18.0694183734,160.5054703010,31.566949,0.197293
61,1.4375985324,18.0271855952,140.4203700367,31.405818,0.196286
62,1.3843638757,17.5143906516,136.0203865078,31.444606,0.196529
63,1.3658342243,16.6756268354,148.0246172545,31.492606,0.196829
64,1.3526689256,18.2094173378,147.6219040603,31.611475,0.197572
65,1.3247627554,18.9680750472,154.3778320285,31.645919,0.197787
66,1.3034489572,18.9318851422,154.6526742856,31.452505,0.196578
67,1.2913708797,18.6551641392,151.8931486321,30.867616,0.192923
68,1.2677413811,18.2668777138,140.6702046248,30.629879,0.191437
69,1.2601154187,19.0493964423,128.6852104636,30.685960,0.191787
