Funcion,Ejecucion,Fitness,Diversidad_Final
sphere,1,0.0000031373,0.055612
sphere,2,0.0000062624,0.061645
sphere,3,0.0000085574,0.041842
sphere,4,0.0000009400,0.043021
sphere,5,0.0000008911,0.043516
sphere,6,0.0000013794,0.032510
sphere,7,0.0000033815,0.053683
sphere,8,0.0000041139,0.050122
sphere,9,0.0000135868,0.049941
sphere,10,0.0000015259,0.042865
ackley,1,0.0269680317,0.057005
ackley,2,0.0162690275,0.040001
ackley,3,0.0415887503,0.051686
ackley,4,0.0091187174,0.042271
ackley,5,0.0067471352,0.036990
ackley,6,0.0149818414,0.050784
ackley,7,0.0259489522,0.048083
ackley,8,0.0118070366,0.041020
ackley,9,0.0124265902,0.043665
ackley,10,0.0211114537,0.051370
griewank,1,0.3513631375,0.052409
griewank,2,0.1209387570,0.040355
griewank,3,0.0694523470,0.039230
griewank,4,0.3312673059,0.050899
griewank,5,0.1289426175,0.021135
griewank,6,0.1963466183,0.038350
griewank,7,0.1559033888,0.063962
griewank,8,0.1545685456,0.041958
griewank,9,0.1769211323,0.039946
griewank,10,0.1007495793,0.038951
rastrigin,1,17.1062733285,0.041987
rastrigin,2,10.7670924282,0.048886
rastrigin,3,8.5304762603,0.065763
rastrigin,4,8.7101775787,0.046934
rastrigin,5,8.7115166488,0.064731
rastrigin,6,11.3781915529,0.044311
rastrigin,7,9.7781226619,0.069533
rastrigin,8,12.6699443921,0.067186
rastrigin,9,10.6854356971,0.042880
rastrigin,10,16.7920573525,0.037894
rosenbrock,1,8.9585464232,0.052824
rosenbrock,2,2.6053113627,0.057388
rosenbrock,3,88.5451058102,0.062542
rosenbrock,4,10.2798823060,0.039460
rosenbrock,5,47.0519284757,0.065543
rosenbrock,6,7.6243663854,0.053393
rosenbrock,7,8.7229217362,0.058811
rosenbrock,8,70.5862327377,0.051146
rosenbrock,9,8.0608782979,0.043886
rosenbrock,10,8.7297346411,0.054340

ESTADISTICAS RESUMEN

Funcion,Mejor,Peor,Promedio,Mediana,Desv.Est.
sphere,0.0000008911,0.0000135868,0.0000043776,0.0000032594,0.0000038669
ackley,0.0067471352,0.0415887503,0.0186967536,0.0156254345,0.0099593797
griewank,0.0694523470,0.3513631375,0.1786453429,0.1552359672,0.0885038803
rastrigin,8.5304762603,17.1062733285,11.5129287901,10.7262640626,2.9893219492
rosenbrock,2.6053113627,88.5451058102,26.1164908176,8.8441405322,29.4685435606
