Generacion,Mejor,Promedio,Peor,Diversidad,Diversidad_Norm
0,98.2484889417,300.3709478571,494.1475769134,80.035030,0.500219
1,77.4111027036,246.8616105391,469.9503035033,78.469596,0.490435
2,67.8697077624,207.7473290268,446.2989659855,75.934162,0.474589
3,55.8894145547,187.4880433389,395.9071305817,72.088505,0.450553
4,48.4723443952,167.1214479270,394.5698199598,66.611596,0.416322
5,39.9830695667,146.5819514720,375.4926900021,61.290040,0.383063
6,34.8572872251,130.4909955974,359.5540300588,53.603232,0.335020
7,28.2300317850,105.3050498400,297.4720862455,44.951556,0.280947
8,25.6001724326,96.4783007604,274.4607789939,39.834707,0.248967
9,21.8974621953,76.6464484210,250.4088179520,35.447758,0.221548
10,17.7138012186,67.9346018127,226.1941238091,33.756424,0.210978
11,15.6217962309,61.5073209253,209.2407857574,31.974364,0.199840
12,14.7142191924,53.4927871536,205.3447825492,30.916707,0.193229
13,13.1270853330,46.3376126413,192.9885534508,28.093677,0.175585
14,10.9480715339,38.8815963137,170.9053052825,25.803232,0.161270
15,9.5062791044,33.4366170916,183.2486287979,23.570788,0.147317
16,7.9622780263,29.2871456036,164.9014225406,22.787172,0.142420
17,7.4006713215,25.5858647275,142.3479673986,22.546788,0.140917
18,6.3701165768,26.0815313825,141.2298182271,22.444444,0.140278
19,4.9730172061,21.0049828365,154.2031960655,21.223960,0.132650
20,4.4968566523,18.5973015454,136.4037885692,20.450566,0.127816
21,3.2622186836,16.5806366071,139.5798124749,19.959778,0.124749
22,2.8810409553,15.1884696818,121.7351772815,19.471495,0.121697
23,2.6350500362,13.8713084690,117.9811149261,18.958263,0.118489
24,2.2379367330,14.1607132789,128.3135574432,18.708747,0.116930
25,2.1533266936,13.7159712297,126.7265398864,18.960606,0.118504
26,2.0235334609,12.6213672831,129.3739790206,19.002364,0.118765
27,1.8681471237,12.0638918279,110.2816598114,18.836364,0.117727
28,1.7307678515,12.0377133314,122.3522704875,18.558687,0.115992
29,1.5356386725,9.8485403580,125.2080099776,18.245616,0.114035
30,1.4798866617,12.4553201064,136.9536186006,18.210545,0.113816
31,1.3741422574,9.4887001078,124.5686825886,18.234283,0.113964
32,1.3265612851,12.2762358685,119.6738454161,17.946566,0.112166
33,1.2616628794,10.2410022347,123.8139523704,17.650788,0.110317
34,1.2389016187,10.1228886310,124.1301177569,16.876990,0.105481
35,1.1739448979,11.1154442434,127.7419283617,16.820040,0.105125
36,1.1568455763,11.6819002510,137.9477194651,16.638162,0.103989
37,1.1157747189,11.1769262784,144.1059885065,16.862020,0.105388
38,1.1072501619,10.9576345731,117.7197860060,16.660687,0.104129
39,1.0687019311,11.5805536514,136.4073441225,16.420101,0.102626
40,1.0459936942,10.3967552169,114.8195089912,16.224929,0.101406
41,1.0201337564,11.3352805378,142.1748671721,15.513636,0.096960
42,0.9956814439,10.9645528102,130.7441339218,15.347596,0.095922
43,0.9526826737,10.9553807170,106.8830637894,15.197596,0.094985
44,0.9432001730,10.3096724891,133.6874566419,14.864707,0.092904
45,0.9105208043,9.7419148130,133.0133271902,14.464889,0.090406
46,0.8759946010,10.6077751564,137.1138304989,14.071737,0.087948
47,0.8378523732,10.2169235493,115.4784229186,13.967636,0.087298
