Generacion,Mejor,Promedio,Peor,Diversidad,Diversidad_Norm
0,19.2757853535,20.9793988500,21.7455904953,79.971152,0.499820
1,19.0801070683,20.7768766242,21.7143959267,79.022222,0.493889
2,18.5911674978,20.6223095584,21.6280955186,77.878384,0.486740
3,18.1834716357,20.4542211759,21.5958210200,76.690242,0.479314
4,17.9740623570,20.3170280952,21.6408549810,75.160505,0.469753
5,17.8685852710,20.1561052409,21.5917725731,73.069051,0.456682
6,17.2030014799,20.0549192062,21.6187854579,70.365030,0.439781
7,16.3690959215,19.8362009472,21.5578178585,66.795354,0.417471
8,16.0409414140,19.6812494582,21.4927715059,63.182606,0.394891
9,15.3505628980,19.3843971521,21.4601004437,59.633071,0.372707
10,15.1986677863,19.1623784389,21.4357246835,56.449919,0.352812
11,14.6797516551,18.8529025960,21.3273574365,54.208626,0.338804
12,14.2965077875,18.5807976508,21.2321905229,51.665010,0.322906
13,13.9362691436,18.2027376744,21.1230458317,49.030020,0.306438
14,13.5367192717,17.8211507383,20.9570267966,46.527495,0.290797
15,13.1091434984,17.3993942021,20.8835457196,43.660848,0.272880
16,12.5054449682,17.0479813293,20.8659021981,40.977535,0.256110
17,12.2168795201,16.7371300871,20.8030374265,38.666848,0.241668
18,11.8269352917,16.2954841118,20.7821838599,36.492727,0.228080
19,11.3138543080,15.8832983640,20.4943659758,35.691535,0.223072
20,11.0223535282,15.5927804660,20.3119142355,35.015131,0.218845
21,10.7961470419,15.2607386971,20.2712271674,34.599636,0.216248
22,9.9908604417,14.9238046785,20.3280639377,34.124202,0.213276
23,9.7838644685,14.4937502333,20.3323070293,32.770384,0.204815
24,9.5613510873,14.1945292084,20.4010075171,32.783899,0.204899
25,9.2696633060,13.8457106354,20.2631040867,32.421980,0.202637
26,8.9271054167,13.5974472943,19.9164947974,32.047354,0.200296
27,8.6390747609,13.0227078272,19.8756408258,31.470121,0.196688
28,8.4365198297,12.5870514319,19.8312286652,30.402485,0.190016
29,7.9547581521,12.3528435413,19.8619743999,30.045273,0.187783
