Generacion,Mejor,Promedio,Peor,Diversidad,Diversidad_Norm
0,105.7532757673,186.3830352468,266.7551870429,80.018404,0.500115
1,101.7703258019,174.0653626950,257.5305376271,78.947596,0.493422
2,98.4863642719,162.7352339593,242.8398090952,77.705616,0.485660
3,96.0971489191,155.2543639009,244.9555945231,76.258586,0.476616
4,92.0391707037,152.0529830983,251.8645491113,74.257616,0.464110
5,86.8143547621,152.1692161053,242.2777576537,72.816303,0.455102
6,84.8235862864,147.6168677792,241.1447466788,70.775778,0.442349
7,81.3186508251,145.5333319120,234.6385522325,68.629798,0.428936
8,77.7476913190,141.8971124466,239.5467589459,66.943131,0.418395
9,74.5421920822,137.8453427373,233.6316570243,65.097051,0.406857
10,70.2768049627,134.9220290562,229.2729169345,62.905495,0.393159
11,68.1685517642,131.9162404599,226.9675708294,60.515475,0.378222
12,67.0857400378,126.1428567328,221.8189887594,57.710949,0.360693
13,62.1952304030,121.7076767046,212.9013483754,55.191535,0.344947
14,61.3069731085,116.1158241570,212.1832241137,51.605212,0.322533
15,58.6268645553,114.0284443236,207.9512775089,49.436747,0.308980
16,55.9460229873,109.1966076070,196.3405522155,46.915939,0.293225
17,50.8235989843,103.8382042534,188.1638712835,44.983212,0.281145
18,48.5379435798,100.2920511572,183.7560106328,43.544586,0.272154
19,46.3252005365,95.2085127744,177.4124084063,42.234202,0.263964
20,43.9878022628,92.6858600536,172.8187737815,40.840343,0.255252
21,42.3787135502,91.5089845172,169.5552901123,40.036707,0.250229
22,40.2756452519,90.2265491723,171.9731010109,39.074990,0.244219
23,38.1888949808,86.6643712928,163.4140832305,37.769152,0.236057
24,36.5603496844,81.5611879559,163.7842706609,36.676040,0.229225
25,35.1284976629,79.3276203673,161.6849382513,34.836909,0.217731
26,33.9400726947,76.8945821218,157.0518717130,33.601879,0.210012
27,30.9098241357,73.4029303191,152.6146390611,31.877051,0.199232
28,30.8536089886,71.7763374562,147.3148465220,31.593434,0.197459
29,30.0571108538,67.7967632595,139.7693910638,31.052404,0.194078
30,29.2754620025,65.6476783305,145.9286198363,29.538566,0.184616
31,28.5216380405,65.6537641729,145.5596428484,29.319192,0.183245
32,28.0194085802,62.2829626819,141.8011645678,28.436525,0.177728
33,28.0114283509,59.7524656656,135.7145167932,27.918364,0.174490
34,27.9214809243,56.1074824664,125.7614190941,26.966222,0.168539
35,25.8952869244,55.2800249943,121.7497766160,26.431374,0.165196
36,24.9282063338,53.3782029983,122.5565984174,26.124020,0.163275
37,24.1779265186,51.4030276782,115.2657149358,25.411071,0.158819
38,23.9617800294,50.0201586407,112.1864435614,25.346566,0.158416
39,23.7952337442,48.8743190127,112.4494254943,25.143434,0.157146
40,22.6808049558,47.7298748971,105.6469101526,24.810101,0.155063
41,22.4986604692,47.7344645989,112.9967349052,24.512020,0.153200
42,22.0824415119,47.4591135281,109.1517265141,24.474949,0.152968
43,21.3013815676,45.2507572567,108.2565701412,24.108869,0.150680
44,20.9963181715,45.2730173356,108.3688159659,24.114626,0.150716
45,20.7785980494,44.3586434979,116.9860254703,24.283495,0.151772
46,20.0607569887,43.6650247359,107.1159558179,24.052747,0.150330
47,19.6251795733,43.0579060571,105.4877663765,23.811172,0.148820
48,19.2791312950,41.5445769259,102.7144449615,23.345253,0.145908
49,18.8716002998,40.8036881900,103.7843324238,23.028869,0.143930
50,18.6986316006,40.7036287684,102.1814695242,22.930586,0.143316
51,18.6827298259,40.3939611934,99.5028296047,23.018283,0.143864
52,17.7781603849,37.8999066995,101.3787901815,22.874263,0.142964
53,17.1671680860,38.6812702267,102.9323051589,23.453333,0.146583
54,17.1540396406,38.2402565183,95.0564904309,23.269515,0.145434
55,16.3098917386,37.0145241737,101.4160722153,23.248889,0.145306
56,16.1322708720,37.5117718147,102.4134724153,23.595313,0.147471
57,15.8423952122,36.6742463114,98.6319593442,23.353091,0.145957
58,15.6026660163,35.9127282329,102.3164542306,23.321131,0.145757
